S	d3	d4	d5	ip	classes	composition	cycle_visits	classes_with
145	3	0	0	0	21144	6	2013328	21144
145	3	0	0	0	21144	3|3	175252	21144
145	3	0	0	0	21144	2|4	172335	21144
145	3	0	0	0	21144	4|2	171717	21144
145	3	0	0	0	21144	2|2|2	4648	4224
143	5	0	0	0	470	6	45706	470
143	5	0	0	0	470	2|4	3665	470
143	5	0	0	0	470	3|3	3655	470
143	5	0	0	0	470	4|2	3258	470
143	5	0	0	0	470	2|2|2	116	107
140	6	1	0	0	388	6	38840	388
140	6	1	0	0	388	2|4	2676	388
140	6	1	0	0	388	4|2	2646	388
140	6	1	0	0	388	3|3	2358	388
140	6	1	0	0	388	2|2|2	40	36
142	6	0	0	0	19	6	1867	19
142	6	0	0	0	19	3|3	143	19
142	6	0	0	0	19	4|2	139	19
142	6	0	0	0	19	2|4	126	19
142	6	0	0	0	19	2|2|2	5	5
135	9	2	0	0	18	6	1890	18
135	9	2	0	0	18	4|2	90	18
135	9	2	0	0	18	2|4	90	18
135	9	2	0	0	18	3|3	90	18
140	8	0	0	0	10	6	1006	10
140	8	0	0	0	10	3|3	73	10
140	8	0	0	0	10	2|4	70	10
140	8	0	0	0	10	4|2	45	10
140	8	0	0	0	10	2|2|2	6	5
138	8	1	0	0	9	6	920	9
138	8	1	0	0	9	3|3	56	9
138	8	1	0	0	9	4|2	54	9
138	8	1	0	0	9	2|4	48	9
138	8	1	0	0	9	2|2|2	2	2
141	7	0	0	0	4	6	396	4
141	7	0	0	0	4	4|2	28	4
141	7	0	0	0	4	2|4	26	4
141	7	0	0	0	4	3|3	26	4
141	7	0	0	0	4	1|5	2	2
141	7	0	0	0	4	5|1	2	2
