S	d3	d4	d5	ip	weight	depth	exit_part	target_fresh
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	60	6	0
145	3	0	0	0	3	594	2	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	660	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	60	6	0
145	3	0	0	0	3	138	3	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	60	6	0
145	3	0	0	0	3	90	6	0
145	3	0	0	0	3	270	6	0
145	3	0	0	0	3	612	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	78	3	0
145	3	0	0	0	3	108	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	660	2	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	660	3	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	630	6	0
145	3	0	0	0	3	660	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	126	6	0
145	3	0	0	0	3	156	6	0
145	3	0	0	0	3	594	6	0
145	3	0	0	0	3	270	3	0
145	3	0	0	0	3	348	2	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	510	2	0
145	3	0	0	0	3	612	3	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	156	6	0
145	3	0	0	0	3	186	6	0
145	3	0	0	0	3	174	6	0
145	3	0	0	0	3	660	3	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	174	2	0
145	3	0	0	0	3	228	6	0
145	3	0	0	0	3	258	6	0
145	3	0	0	0	3	486	2	0
145	3	0	0	0	3	516	6	0
145	3	0	0	0	3	690	2	0
145	3	0	0	0	3	390	3	0
145	3	0	0	0	3	420	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	30	6	0
145	3	0	0	0	3	660	6	0
145	3	0	0	0	3	690	6	0
145	3	0	0	0	3	630	6	0
