index,pattern,K,Sigma,verdict,nodes,maxdepth,seconds
5,66466466646664664666466646666,29,14,UNSAT,60037516,79,111
6,66466646646664666466466646666,29,14,TIMEOUT,1005881344,77,1800
7,66466646664664666466466646666,29,14,TIMEOUT,985511936,77,1800
8,66466646664664666466646646666,29,14,TIMEOUT,766957568,83,1800
9,66646646664664666466466646666,29,14,TIMEOUT,1030154240,77,1800
11,66646664664666466466646646666,29,14,TIMEOUT,1037496320,77,1800
10,66646646664666466466646664666,29,14,TIMEOUT,1060442112,86,1800
12,66646664664666466646646664666,29,14,TIMEOUT,1027764224,76,1800
13,66646664666466466646664664666,29,14,TIMEOUT,1049632768,86,1800
14,66664664666466466646646664666,29,14,TIMEOUT,1044727808,78,1800
16,66664666446664664666466646666,29,14,TIMEOUT,816103424,87,1800
15,66664664666466646646664666466,29,14,TIMEOUT,1048315904,83,1800
17,66664666446664666466466646666,29,14,TIMEOUT,1071032320,87,1800
19,66664666466466646646664664666,29,14,TIMEOUT,1039065088,80,1800
20,66664666466466646646664666466,29,14,TIMEOUT,1028118528,83,1800
18,66664666466466644666466646666,29,14,TIMEOUT,1069264896,85,1800
21,66664666466466646664466646666,29,14,TIMEOUT,1070964736,89,1800
25,66664666466646646664666466466,29,14,UNSAT,199733787,78,352
26,566466466646664664666466646666,30,15,UNSAT,8548527,71,15
23,66664666466644666466466646666,29,14,TIMEOUT,1062209536,80,1800
22,66664666466466646664664666466,29,14,TIMEOUT,1031991296,77,1800
24,66664666466646646664466646666,29,14,TIMEOUT,1096065024,89,1800
27,566466646646664666466466646666,30,15,TIMEOUT,1015916544,74,1800
29,566646646664664666466466646666,30,15,TIMEOUT,1019453440,78,1801
28,566466646664664666466646646666,30,15,TIMEOUT,1047404544,82,1801
30,566646646664666466466646664666,30,15,TIMEOUT,1054003200,83,1801
33,566646664666466466646664664666,30,15,UNSAT,1,0,0
34,666466466646663664666466646666,30,15,UNSAT,1,0,0
35,666466466646664664666466646665,30,15,UNSAT,1,0,0
37,666466646646664666366466646666,30,15,UNSAT,1,0,0
31,566646664664666466466646646666,30,15,TIMEOUT,1063458816,83,1800
32,566646664664666466646646664666,30,15,TIMEOUT,1010290688,75,1800
36,666466646646664664666466636666,30,15,TIMEOUT,778240000,80,1800
41,666466646664663666466646646666,30,15,UNSAT,1,0,0
38,666466646646664666466466646665,30,15,TIMEOUT,1022306304,83,1800
43,666636466646664664666466646666,30,15,UNSAT,4,3,0
39,666466646663664664666466646666,30,15,TIMEOUT,1016899584,82,1800
40,666466646663664666466646646666,30,15,TIMEOUT,249034752,77,600
42,666466646664664666466646646665,30,15,TIMEOUT,342403072,82,600
44,666636646646664666466466646666,30,15,TIMEOUT,334077952,82,600
45,666636646664664666466466646666,30,15,TIMEOUT,337694720,79,600
47,666636664666466466646646664666,30,15,TIMEOUT,343048192,76,600
51,666646646664666366466466646666,30,15,TIMEOUT,264452096,77,600
49,666646646664664666466466646665,30,15,TIMEOUT,337541120,76,600
53,666646646664666466366646664666,30,15,TIMEOUT,337375232,72,600
58,666646663664664666466466646666,30,15,TIMEOUT,353503232,86,600
56,666646646664666466466646664665,30,15,TIMEOUT,352786432,82,600
54,666646646664666466466366646666,30,15,TIMEOUT,347994112,83,600
59,666646663664664666466646646666,30,15,TIMEOUT,345255936,76,600
63,666646664664666466466646636666,30,15,TIMEOUT,260272128,78,600
62,666646664664666466466366646666,30,15,TIMEOUT,349321216,76,600
61,666646664664663666466646646666,30,15,TIMEOUT,350965760,80,600
64,666646664664666466466646646665,30,15,TIMEOUT,345057280,77,600
67,666646664664666466646646664665,30,15,TIMEOUT,342665216,78,600
66,666646664664666466646646636666,30,15,TIMEOUT,349628416,76,600
68,666646664666463664666466646666,30,15,TIMEOUT,348217344,78,600
69,666646664666466364666466646666,30,15,TIMEOUT,341575680,82,600
75,4666466646646664666466466646666,31,16,TIMEOUT,339855360,75,600
71,666646664666466466366646664666,30,15,TIMEOUT,328183808,75,600
86,6466646664664666466646646664666,31,16,TIMEOUT,343418880,74,600
83,6466466646664664666466646646666,31,16,TIMEOUT,344471552,74,600
88,6646646664664666466466646646666,31,16,TIMEOUT,242804736,69,600
91,6646664664666466646646664666466,31,16,TIMEOUT,342136832,70,600
90,6646664664666466466646646664666,31,16,TIMEOUT,340131840,75,600
