index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep
0,666646664666466466646664666,27,12,OPEN,0,TIMEOUT-KILLED,
1,666646664664666466466646666,27,12,OPEN,0,TIMEOUT-KILLED,
2,666646646664666466466646666,27,12,OPEN,0,TIMEOUT-KILLED,
3,666646664664666466646646666,27,12,OPEN,0,TIMEOUT-KILLED,
4,666466646664664666466646666,27,12,OPEN,0,TIMEOUT-KILLED,
5,66466466646664664666466646666,29,14,UNSAT,0,UNSAT,UNSAT
6,66466646646664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
7,66466646664664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
8,66466646664664666466646646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
9,66646646664664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
10,66646646664666466466646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
11,66646664664666466466646646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
12,66646664664666466646646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
13,66646664666466466646664664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
14,66664664666466466646646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
15,66664664666466646646664666466,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
16,66664666446664664666466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
17,66664666446664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
18,66664666466466644666466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
19,66664666466466646646664664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
20,66664666466466646646664666466,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
21,66664666466466646664466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
22,66664666466466646664664666466,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
23,66664666466644666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
24,66664666466646646664466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT
25,66664666466646646664666466466,29,14,UNSAT,0,UNSAT,UNSAT
26,566466466646664664666466646666,30,15,UNSAT,0,UNSAT,UNSAT
27,566466646646664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
28,566466646664664666466646646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
29,566646646664664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
30,566646646664666466466646664666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
31,566646664664666466466646646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
32,566646664664666466646646664666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
33,566646664666466466646664664666,30,15,STRUCTURAL,1,UNSAT,UNSAT
34,666466466646663664666466646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT
35,666466466646664664666466646665,30,15,STRUCTURAL,1,UNSAT,UNSAT
36,666466646646664664666466636666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
37,666466646646664666366466646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT
38,666466646646664666466466646665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
39,666466646663664664666466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT
40,666466646663664666466646646666,30,15,OPEN,0,TIMEOUT-KILLED,
41,666466646664663666466646646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT
42,666466646664664666466646646665,30,15,OPEN,0,TIMEOUT-KILLED,
43,666636466646664664666466646666,30,15,UNSAT,0,UNSAT,UNSAT
44,666636646646664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,
45,666636646664664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,
46,666636646664664666466646646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,
