index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep,V,chain_frame,cover_language_scope,verdict_scope,corpus_in_frame,corpus_total,corpus_frame_fraction
0,666646664666466466646664666,27,12,OPEN,0,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
1,666646664664666466466646666,27,12,OPEN,0,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
2,666646646664666466466646666,27,12,OPEN,0,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
3,666646664664666466646646666,27,12,OPEN,0,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
4,666466646664664666466646666,27,12,OPEN,0,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
5,66466466646664664666466646666,29,14,UNSAT,0,UNSAT,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
6,66466646646664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
7,66466646664664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
8,66466646664664666466646646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
9,66646646664664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
10,66646646664666466466646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
11,66646664664666466466646646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
12,66646664664666466646646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
13,66646664666466466646664664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
14,66664664666466466646646664666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
15,66664664666466646646664666466,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
16,66664666446664664666466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
17,66664666446664666466466646666,29,14,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
