weight	target_word	same_cycle	target_necklace	entry_offset	n_interior_perms	interior_words
3	456123	1	123456	3	2	234561;345612
3	456132	0	132456	3	1	234561
3	456213	0	134562	2	1	345621
3	456231	0	145623	1	0	
3	456312	0	124563	2	0	
3	456321	0	145632	1	0	
4	561234	1	123456	4	3	234561;345612;456123
4	561243	0	124356	4	2	234561;345612
4	561324	0	132456	4	2	234561;456132
4	561342	0	134256	4	1	234561
4	561423	0	142356	4	1	234561
4	561432	0	143256	4	1	234561
4	562134	0	134562	3	2	345621;456213
4	562143	0	143562	3	1	345621
4	562314	0	145623	2	1	456231
4	562341	0	156234	1	0	
4	562413	0	135624	2	0	
4	562431	0	156243	1	0	
4	563124	0	124563	3	1	456312
4	563142	0	142563	3	0	
4	563214	0	145632	2	1	456321
4	563241	0	156324	1	0	
4	563412	0	125634	2	0	
4	563421	0	156342	1	0	
4	564123	0	123564	3	0	
4	564132	0	132564	3	0	
4	564213	0	135642	2	0	
4	564231	0	156423	1	0	
4	564312	0	125643	2	0	
4	564321	0	156432	1	0	
5	612345	1	123456	5	4	234561;345612;456123;561234
5	612354	0	123546	5	3	234561;345612;456123
5	612435	0	124356	5	3	234561;345612;561243
5	612453	0	124536	5	2	234561;345612
5	612534	0	125346	5	2	234561;345612
5	612543	0	125436	5	2	234561;345612
5	613245	0	132456	5	3	234561;456132;561324
5	613254	0	132546	5	2	234561;456132
5	613425	0	134256	5	2	234561;561342
5	613452	0	134526	5	1	234561
5	613524	0	135246	5	1	234561
5	613542	0	135426	5	1	234561
5	614235	0	142356	5	2	234561;561423
5	614253	0	142536	5	1	234561
5	614325	0	143256	5	2	234561;561432
5	614352	0	143526	5	1	234561
5	614523	0	145236	5	1	234561
5	614532	0	145326	5	1	234561
5	615234	0	152346	5	1	234561
5	615243	0	152436	5	1	234561
5	615324	0	153246	5	1	234561
5	615342	0	153426	5	1	234561
5	615423	0	154236	5	1	234561
5	615432	0	154326	5	1	234561
5	621345	0	134562	4	3	345621;456213;562134
5	621354	0	135462	4	2	345621;456213
5	621435	0	143562	4	2	345621;562143
5	621453	0	145362	4	1	345621
5	621534	0	153462	4	1	345621
5	621543	0	154362	4	1	345621
5	623145	0	145623	3	2	456231;562314
5	623154	0	154623	3	1	456231
5	623415	0	156234	2	1	562341
5	623451	0	162345	1	0	
5	623514	0	146235	2	0	
5	623541	0	162354	1	0	
5	624135	0	135624	3	1	562413
5	624153	0	153624	3	0	
5	624315	0	156243	2	1	562431
5	624351	0	162435	1	0	
5	624513	0	136245	2	0	
5	624531	0	162453	1	0	
5	625134	0	134625	3	0	
5	625143	0	143625	3	0	
5	625314	0	146253	2	0	
5	625341	0	162534	1	0	
5	625413	0	136254	2	0	
5	625431	0	162543	1	0	
5	631245	0	124563	4	2	456312;563124
5	631254	0	125463	4	1	456312
5	631425	0	142563	4	1	563142
5	631452	0	145263	4	0	
5	631524	0	152463	4	0	
5	631542	0	154263	4	0	
5	632145	0	145632	3	2	456321;563214
5	632154	0	154632	3	1	456321
5	632415	0	156324	2	1	563241
5	632451	0	163245	1	0	
5	632514	0	146325	2	0	
5	632541	0	163254	1	0	
5	634125	0	125634	3	1	563412
5	634152	0	152634	3	0	
5	634215	0	156342	2	1	563421
5	634251	0	163425	1	0	
5	634512	0	126345	2	0	
5	634521	0	163452	1	0	
5	635124	0	124635	3	0	
5	635142	0	142635	3	0	
5	635214	0	146352	2	0	
5	635241	0	163524	1	0	
5	635412	0	126354	2	0	
5	635421	0	163542	1	0	
5	641235	0	123564	4	1	564123
5	641253	0	125364	4	0	
5	641325	0	132564	4	1	564132
5	641352	0	135264	4	0	
5	641523	0	152364	4	0	
5	641532	0	153264	4	0	
5	642135	0	135642	3	1	564213
5	642153	0	153642	3	0	
5	642315	0	156423	2	1	564231
5	642351	0	164235	1	0	
5	642513	0	136425	2	0	
5	642531	0	164253	1	0	
5	643125	0	125643	3	1	564312
5	643152	0	152643	3	0	
5	643215	0	156432	2	1	564321
5	643251	0	164325	1	0	
5	643512	0	126435	2	0	
5	643521	0	164352	1	0	
5	645123	0	123645	3	0	
5	645132	0	132645	3	0	
5	645213	0	136452	2	0	
5	645231	0	164523	1	0	
5	645312	0	126453	2	0	
5	645321	0	164532	1	0	
5	651234	0	123465	4	0	
5	651243	0	124365	4	0	
5	651324	0	132465	4	0	
5	651342	0	134265	4	0	
5	651423	0	142365	4	0	
5	651432	0	143265	4	0	
5	652134	0	134652	3	0	
5	652143	0	143652	3	0	
5	652314	0	146523	2	0	
5	652341	0	165234	1	0	
5	652413	0	136524	2	0	
5	652431	0	165243	1	0	
5	653124	0	124653	3	0	
5	653142	0	142653	3	0	
5	653214	0	146532	2	0	
5	653241	0	165324	1	0	
5	653412	0	126534	2	0	
5	653421	0	165342	1	0	
5	654123	0	123654	3	0	
5	654132	0	132654	3	0	
5	654213	0	136542	2	0	
5	654231	0	165423	1	0	
5	654312	0	126543	2	0	
5	654321	0	165432	1	0	
