S,d3,d4,d5,d6,ip,waste,length,status,closure,notes
120,0,0,0,0,25,144,869,closed-lemma,lemma-B-passover,
120,0,0,0,0,26,145,870,closed-lemma,lemma-B-passover,
120,0,0,0,0,27,146,871,closed-lemma,lemma-B-passover,
120,1,0,0,0,24,144,869,closed-lemma,lemma-B-passover,
120,1,0,0,0,25,145,870,closed-lemma,lemma-B-passover,
120,1,0,0,0,26,146,871,closed-lemma,lemma-B-passover,
120,2,0,0,0,23,144,869,closed-lemma,lemma-B-passover,
120,2,0,0,0,24,145,870,closed-lemma,lemma-B-passover,
120,2,0,0,0,25,146,871,closed-lemma,lemma-B-passover,
120,3,0,0,0,22,144,869,closed-lemma,lemma-B-passover,
120,3,0,0,0,23,145,870,closed-lemma,lemma-B-passover,
120,3,0,0,0,24,146,871,closed-lemma,lemma-B-passover,
120,4,0,0,0,21,144,869,closed-lemma,lemma-B-passover,
120,4,0,0,0,22,145,870,closed-lemma,lemma-B-passover,
120,4,0,0,0,23,146,871,closed-lemma,lemma-B-passover,
120,5,0,0,0,20,144,869,closed-lemma,lemma-B-passover,
120,5,0,0,0,21,145,870,closed-lemma,lemma-B-passover,
120,5,0,0,0,22,146,871,closed-lemma,lemma-B-passover,
120,6,0,0,0,19,144,869,closed-lemma,lemma-B-passover,
120,6,0,0,0,20,145,870,closed-lemma,lemma-B-passover,
120,6,0,0,0,21,146,871,closed-lemma,lemma-B-passover,
120,7,0,0,0,18,144,869,closed-lemma,lemma-B-passover,
120,7,0,0,0,19,145,870,closed-lemma,lemma-B-passover,
120,7,0,0,0,20,146,871,closed-lemma,lemma-B-passover,
120,8,0,0,0,17,144,869,closed-lemma,lemma-B-passover,
120,8,0,0,0,18,145,870,closed-lemma,lemma-B-passover,
120,8,0,0,0,19,146,871,closed-lemma,lemma-B-passover,
120,9,0,0,0,16,144,869,closed-lemma,lemma-B-passover,
120,9,0,0,0,17,145,870,closed-lemma,lemma-B-passover,
120,9,0,0,0,18,146,871,closed-lemma,lemma-B-passover,
120,10,0,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,10,0,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,10,0,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,11,0,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,11,0,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,11,0,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,12,0,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,12,0,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,12,0,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,13,0,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,13,0,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,13,0,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,14,0,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,14,0,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,14,0,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,15,0,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,15,0,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,15,0,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,16,0,0,0,9,144,869,closed-lemma,lemma-B-passover,
120,16,0,0,0,10,145,870,closed-lemma,lemma-B-passover,
120,16,0,0,0,11,146,871,closed-lemma,lemma-B-passover,
120,17,0,0,0,8,144,869,closed-lemma,lemma-B-passover,
120,17,0,0,0,9,145,870,closed-lemma,lemma-B-passover,
120,17,0,0,0,10,146,871,closed-lemma,lemma-B-passover,
120,18,0,0,0,7,144,869,closed-lemma,lemma-B-passover,
120,18,0,0,0,8,145,870,closed-lemma,lemma-B-passover,
120,18,0,0,0,9,146,871,closed-lemma,lemma-B-passover,
120,19,0,0,0,6,144,869,closed-lemma,lemma-B-passover,
120,19,0,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,19,0,0,0,8,146,871,closed-lemma,lemma-B-passover,
120,20,0,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,20,0,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,20,0,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,21,0,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,21,0,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,21,0,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,22,0,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,22,0,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,22,0,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,23,0,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,23,0,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,23,0,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,24,0,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,24,0,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,24,0,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,25,0,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,25,0,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,25,0,0,0,2,146,871,closed-lemma,lemma-B-passover,
120,26,0,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,26,0,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,27,0,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,1,0,0,23,144,869,closed-lemma,lemma-B-passover,
120,0,1,0,0,24,145,870,closed-lemma,lemma-B-passover,
120,0,1,0,0,25,146,871,closed-lemma,lemma-B-passover,
120,1,1,0,0,22,144,869,closed-lemma,lemma-B-passover,
120,1,1,0,0,23,145,870,closed-lemma,lemma-B-passover,
120,1,1,0,0,24,146,871,closed-lemma,lemma-B-passover,
120,2,1,0,0,21,144,869,closed-lemma,lemma-B-passover,
120,2,1,0,0,22,145,870,closed-lemma,lemma-B-passover,
120,2,1,0,0,23,146,871,closed-lemma,lemma-B-passover,
120,3,1,0,0,20,144,869,closed-lemma,lemma-B-passover,
120,3,1,0,0,21,145,870,closed-lemma,lemma-B-passover,
120,3,1,0,0,22,146,871,closed-lemma,lemma-B-passover,
120,4,1,0,0,19,144,869,closed-lemma,lemma-B-passover,
120,4,1,0,0,20,145,870,closed-lemma,lemma-B-passover,
120,4,1,0,0,21,146,871,closed-lemma,lemma-B-passover,
120,5,1,0,0,18,144,869,closed-lemma,lemma-B-passover,
120,5,1,0,0,19,145,870,closed-lemma,lemma-B-passover,
120,5,1,0,0,20,146,871,closed-lemma,lemma-B-passover,
120,6,1,0,0,17,144,869,closed-lemma,lemma-B-passover,
120,6,1,0,0,18,145,870,closed-lemma,lemma-B-passover,
120,6,1,0,0,19,146,871,closed-lemma,lemma-B-passover,
120,7,1,0,0,16,144,869,closed-lemma,lemma-B-passover,
120,7,1,0,0,17,145,870,closed-lemma,lemma-B-passover,
120,7,1,0,0,18,146,871,closed-lemma,lemma-B-passover,
120,8,1,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,8,1,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,8,1,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,9,1,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,9,1,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,9,1,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,10,1,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,10,1,0,0,14,145,870,closed-lemma,lemma-B-passover,
