min_dist	S	d3	d4	d5	ip	anchor	edits	notes
1	134	9	2	0	0	135,9,2,0,0	S-1	s11-grammar-subregion-closed
1	135	8	2	0	0	135,9,2,0,0	d3-1	s11-grammar-subregion-closed
1	137	8	1	0	0	138,8,1,0,0	S-1	s11-grammar-subregion-closed
1	138	7	1	0	0	138,8,1,0,0	d3-1	s11-grammar-subregion-closed
1	139	6	1	0	0	140,6,1,0,0	S-1	s11-grammar-subregion-closed
1	139	8	0	0	0	140,8,0,0,0	S-1	s11-grammar-subregion-closed
1	140	5	1	0	0	140,6,1,0,0	d3-1	s11-grammar-subregion-closed
1	140	7	0	0	0	140,8,0,0,0	d3-1	s11-grammar-subregion-closed
1	141	6	0	0	0	141,7,0,0,0	d3-1	s11-grammar-subregion-closed
1	142	5	0	0	0	142,6,0,0,0	d3-1	s11-grammar-subregion-closed
1	143	4	0	0	0	143,5,0,0,0	d3-1	s11-grammar-subregion-closed
1	144	3	0	0	0	145,3,0,0,0	S-1	s11-grammar-subregion-closed
1	145	2	0	0	0	145,3,0,0,0	d3-1	s11-grammar-subregion-closed
2	135	9	1	0	1	135,9,2,0,0	d4-1 ip+1	
2	135	10	1	0	0	135,9,2,0,0	d3+1 d4-1	s11-grammar-subregion-closed
2	136	9	1	0	0	135,9,2,0,0	S+1 d4-1	s11-grammar-subregion-closed
2	138	8	0	0	1	138,8,1,0,0	d4-1 ip+1	
2	138	9	0	0	0	138,8,1,0,0	d3+1 d4-1	s11-grammar-subregion-closed
2	140	6	0	0	1	140,6,1,0,0	d4-1 ip+1	
3	133	9	2	0	1	135,9,2,0,0	S-2 ip+1	
3	133	10	2	0	0	135,9,2,0,0	S-2 d3+1	s11-grammar-subregion-closed
3	134	8	2	0	1	135,9,2,0,0	S-1 d3-1 ip+1	
3	135	7	2	0	1	135,9,2,0,0	d3-2 ip+1	
3	135	9	0	1	0	135,9,2,0,0	d4-2 d5+1	s11-grammar-subregion-closed
3	136	7	2	0	0	135,9,2,0,0	S+1 d3-2	s11-grammar-subregion-closed
3	136	8	1	0	1	138,8,1,0,0	S-2 ip+1	
3	137	7	1	0	1	138,8,1,0,0	S-1 d3-1 ip+1	
3	138	6	1	0	1	138,8,1,0,0	d3-2 ip+1	
3	139	5	1	0	1	140,6,1,0,0	S-1 d3-1 ip+1	
3	139	7	0	0	1	140,8,0,0,0	S-1 d3-1 ip+1	
3	140	4	1	0	1	140,6,1,0,0	d3-2 ip+1	
3	141	4	1	0	0	140,6,1,0,0	S+1 d3-2	s11-grammar-subregion-closed
3	141	5	0	0	1	141,7,0,0,0	d3-2 ip+1	
3	142	4	0	0	1	142,6,0,0,0	d3-2 ip+1	
3	143	3	0	0	1	143,5,0,0,0	d3-2 ip+1	
3	144	2	0	0	1	145,3,0,0,0	S-1 d3-1 ip+1	
3	145	1	0	0	1	145,3,0,0,0	d3-2 ip+1	
3	146	1	0	0	0	145,3,0,0,0	S+1 d3-2	s11-grammar-subregion-closed
4	132	9	3	0	0	135,9,2,0,0	S-3 d4+1	s11-grammar-subregion-closed
4	133	8	3	0	0	135,9,2,0,0	S-2 d3-1 d4+1	s11-grammar-subregion-closed
4	133	9	1	1	0	135,9,2,0,0	S-2 d4-1 d5+1	s11-grammar-subregion-closed
4	134	7	3	0	0	135,9,2,0,0	S-1 d3-2 d4+1	s11-grammar-subregion-closed
4	134	8	1	1	0	135,9,2,0,0	S-1 d3-1 d4-1 d5+1	s11-grammar-subregion-closed
4	134	9	1	0	2	135,9,2,0,0	S-1 d4-1 ip+2	
4	134	10	1	0	1	135,9,2,0,0	S-1 d3+1 d4-1 ip+1	
4	134	11	1	0	0	135,9,2,0,0	S-1 d3+2 d4-1	s11-grammar-subregion-closed
4	135	6	3	0	0	135,9,2,0,0	d3-3 d4+1	s11-grammar-subregion-closed
4	135	7	1	1	0	135,9,2,0,0	d3-2 d4-1 d5+1	s11-grammar-subregion-closed
4	135	8	1	0	2	135,9,2,0,0	d3-1 d4-1 ip+2	
4	136	8	0	1	0	138,8,1,0,0	S-2 d4-1 d5+1	s11-grammar-subregion-closed
4	137	6	2	0	0	138,8,1,0,0	S-1 d3-2 d4+1	s11-grammar-subregion-closed
4	137	7	0	1	0	138,8,1,0,0	S-1 d3-1 d4-1 d5+1	s11-grammar-subregion-closed
4	137	8	0	0	2	138,8,1,0,0	S-1 d4-1 ip+2	
4	137	9	0	0	1	138,8,1,0,0	S-1 d3+1 d4-1 ip+1	
4	137	10	0	0	0	138,8,1,0,0	S-1 d3+2 d4-1	s11-grammar-subregion-closed
4	138	5	2	0	0	138,8,1,0,0	d3-3 d4+1	s11-grammar-subregion-closed
4	138	6	0	1	0	138,8,1,0,0	d3-2 d4-1 d5+1	s11-grammar-subregion-closed
4	138	7	0	0	2	138,8,1,0,0	d3-1 d4-1 ip+2	
4	139	4	2	0	0	140,6,1,0,0	S-1 d3-2 d4+1	s11-grammar-subregion-closed
4	139	5	0	1	0	140,6,1,0,0	S-1 d3-1 d4-1 d5+1	s11-grammar-subregion-closed
4	139	6	0	0	2	140,6,1,0,0	S-1 d4-1 ip+2	
4	140	3	2	0	0	140,6,1,0,0	d3-3 d4+1	s11-grammar-subregion-closed
4	140	4	0	1	0	140,6,1,0,0	d3-2 d4-1 d5+1	s11-grammar-subregion-closed
4	140	5	0	0	2	140,6,1,0,0	d3-1 d4-1 ip+2	
