[dlx7g] ../../data/trackc/instances/c5906_666466646646.txt: cols=620 rows=3228 loops=658 nchild=5 maxcolsz=35 weights=../../ml/models/trackc_modelB.txt eps=0.15 seed=2
[progress] nodes=1310720 total=1310720 depth=62 maxdepth=85 elapsed=10.5s
[attempt 1] res=-1 nodes=2000001 (cap 2000000) total=2000001 maxdepth=85 cycle_prunes=38477 dead_ends=373135 rootless=0
[progress] nodes=1245184 total=3245185 depth=45 maxdepth=88 elapsed=20.7s
[progress] nodes=3145728 total=5145729 depth=56 maxdepth=91 elapsed=31.0s
[attempt 2] res=-1 nodes=4000001 (cap 4000000) total=6000002 maxdepth=91 cycle_prunes=48027 dead_ends=705560 rootless=0
[progress] nodes=720896 total=6720898 depth=50 maxdepth=91 elapsed=41.1s
[progress] nodes=2031616 total=8031618 depth=58 maxdepth=91 elapsed=51.3s
[progress] nodes=3473408 total=9473410 depth=51 maxdepth=91 elapsed=61.7s
[progress] nodes=4587520 total=10587522 depth=55 maxdepth=91 elapsed=72.3s
[progress] nodes=5963776 total=11963778 depth=44 maxdepth=91 elapsed=82.5s
[progress] nodes=7340032 total=13340034 depth=50 maxdepth=91 elapsed=92.7s
[attempt 3] res=-1 nodes=8000001 (cap 8000000) total=14000003 maxdepth=82 cycle_prunes=150601 dead_ends=1368731 rootless=0
[progress] nodes=589824 total=14589827 depth=59 maxdepth=91 elapsed=103.1s
[progress] nodes=2293760 total=16293763 depth=63 maxdepth=91 elapsed=113.3s
[progress] nodes=3932160 total=17932163 depth=66 maxdepth=91 elapsed=123.4s
[progress] nodes=5505024 total=19505027 depth=66 maxdepth=91 elapsed=133.6s
[progress] nodes=7077888 total=21077891 depth=70 maxdepth=91 elapsed=144.1s
[progress] nodes=8650752 total=22650755 depth=57 maxdepth=91 elapsed=154.4s
[progress] nodes=10420224 total=24420227 depth=73 maxdepth=91 elapsed=164.9s
[progress] nodes=12058624 total=26058627 depth=59 maxdepth=91 elapsed=175.2s
[progress] nodes=13565952 total=27565955 depth=57 maxdepth=94 elapsed=185.5s
[progress] nodes=15466496 total=29466499 depth=63 maxdepth=94 elapsed=195.7s
[attempt 4] res=-1 nodes=16000001 (cap 16000000) total=30000004 maxdepth=94 cycle_prunes=491913 dead_ends=2905423 rootless=0
[progress] nodes=983040 total=30983044 depth=68 maxdepth=94 elapsed=205.9s
[progress] nodes=2555904 total=32555908 depth=55 maxdepth=94 elapsed=216.0s
[progress] nodes=4456448 total=34456452 depth=53 maxdepth=94 elapsed=226.2s
[progress] nodes=6029312 total=36029316 depth=49 maxdepth=94 elapsed=236.3s
[progress] nodes=7536640 total=37536644 depth=59 maxdepth=94 elapsed=246.7s
[progress] nodes=9306112 total=39306116 depth=54 maxdepth=94 elapsed=256.8s
[progress] nodes=10747904 total=40747908 depth=56 maxdepth=94 elapsed=266.8s
[progress] nodes=12255232 total=42255236 depth=56 maxdepth=94 elapsed=277.0s
[progress] nodes=14090240 total=44090244 depth=53 maxdepth=94 elapsed=287.3s
[progress] nodes=15990784 total=45990788 depth=69 maxdepth=94 elapsed=297.6s
[progress] nodes=17760256 total=47760260 depth=60 maxdepth=94 elapsed=307.8s
[progress] nodes=19464192 total=49464196 depth=57 maxdepth=94 elapsed=318.3s
[progress] nodes=20840448 total=50840452 depth=51 maxdepth=94 elapsed=328.5s
[progress] nodes=22675456 total=52675460 depth=49 maxdepth=94 elapsed=338.9s
[progress] nodes=24313856 total=54313860 depth=59 maxdepth=94 elapsed=349.2s
[progress] nodes=25821184 total=55821188 depth=61 maxdepth=94 elapsed=359.4s
[progress] nodes=27459584 total=57459588 depth=48 maxdepth=94 elapsed=369.5s
[progress] nodes=29097984 total=59097988 depth=59 maxdepth=94 elapsed=379.9s
[progress] nodes=30474240 total=60474244 depth=61 maxdepth=94 elapsed=390.2s
[progress] nodes=31981568 total=61981572 depth=52 maxdepth=94 elapsed=400.4s
