n	source_class	target_class	rule
6	872.up-00c66faaa43f.txt	872.up-138d980ad903.txt	R-compound
6	872.up-21ccd615e236.txt	872.up-6c85c887e9f4.txt	R-unit
6	872.up-28f85542ce8f.txt	872.up-d0725ab410df.txt	R-unit
6	872.up-2dfc4bc44ed0.txt	872.up-cf4dd22d21fc.txt	R-compound
6	872.up-36db7c1e22f3.txt	872.up-d0d60c97353a.txt	R-compound
6	872.up-3d206c5d1e38.txt	872.up-c2c2cad15237.txt	R-compound
6	872.up-7936514d9469.txt	872.up-67b3676f4e5d.txt	R-compound
6	872.up-84065fb5e583.txt	872.up-3bc0308226c0.txt	R-compound
6	872.up-85fad452de0d.txt	872.up-6f9ab3e1f3b5.txt	R-compound
6	872.up-8d174ca76845.txt	872.up-70aae6748cd4.txt	R-compound
6	872.up-96eaeba17ae1.txt	872.up-75fbe9f1cb81.txt	R-compound
6	872.up-9724c36ea4d7.txt	872.up-790718c298dc.txt	R-unit
6	872.up-a3fdfad78f1e.txt	872.up-4d64fd96e0ca.txt	R-compound
6	872.up-a664551e42ed.txt	872.up-cb59ef5a6789.txt	R-compound
6	872.up-b020caf20414.txt	872.up-0105a4b77ce8.txt	R-unit
6	872.up-d141177d85e1.txt	872.up-55088ebb4107.txt	R-compound
6	872.up-d159e5ca0117.txt	872.up-faede39dbc44.txt	R-compound
6	872.up-d47218b82805.txt	872.up-993900e69429.txt	R-compound
6	872.up-f2528a65b58d.txt	872.up-92751bd2cf5f.txt	R-compound
6	872.up-fa9dd5040f16.txt	872.up-f6fbb176c33e.txt	R-compound
