n	source_class	target_class	rule
7	5906.i4a-29c55ed5fbf6.txt	5906.up-bd458e7fc19e.txt	R-K7
7	5906.i4a-50d865ca7907.txt	5906.up-890b6674bd25.txt	R-K7
7	5906.i4a-66637a3b8941.txt	5906.up-1206598d1ff0.txt	R-K7
7	5906.i4a-6a77e138ea8e.txt	5906.up-590fe2cb2c21.txt	R-K7
7	5906.i4a-7f46c8149026.txt	5906.up-6a142cb8e27d.txt	R-K7
7	5906.i4a-b99b1d60f13e.txt	5906.up-d0b9281ca469.txt	R-K7
7	5906.i4a-c1080e26f60c.txt	5906.up-56126e7237c3.txt	R-K7
7	5906.i4a-e0f3de4ca026.txt	5906.up-df8c9033249e.txt	R-K7
7	5906.up-1206598d1ff0.txt	5906.i4a-66637a3b8941.txt	R-K7
7	5906.up-56126e7237c3.txt	5906.i4a-c1080e26f60c.txt	R-K7
7	5906.up-590fe2cb2c21.txt	5906.i4a-6a77e138ea8e.txt	R-K7
7	5906.up-6a142cb8e27d.txt	5906.i4a-7f46c8149026.txt	R-K7
7	5906.up-890b6674bd25.txt	5906.i4a-50d865ca7907.txt	R-K7
7	5906.up-a30c7c517d7b.txt	5906.up-d9a28c2d8195.txt	R-K7
7	5906.up-bd458e7fc19e.txt	5906.i4a-29c55ed5fbf6.txt	R-K7
7	5906.up-d0b9281ca469.txt	5906.i4a-b99b1d60f13e.txt	R-K7
7	5906.up-d9a28c2d8195.txt	5906.up-a30c7c517d7b.txt	R-K7
7	5906.up-df8c9033249e.txt	5906.i4a-e0f3de4ca026.txt	R-K7
