blind	other	alloc_blind	alloc_other	other_touched	symdiff	ents_out	ents_in	doors_out	doors_in	o_src	o_tgt	rho
5906.up-1b0920685429.txt	5906.i4a-29c55ed5fbf6.txt	720,17	720,22	T	1287	646	641	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.i4a-50d865ca7907.txt	720,17	720,26	T	1415	712	703	15	24	F	R	6243517
5906.up-1b0920685429.txt	5906.i4a-66637a3b8941.txt	720,17	720,22	T	1159	582	577	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.i4a-6a77e138ea8e.txt	720,17	720,22	T	1191	598	593	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.i4a-7f46c8149026.txt	720,17	720,22	T	1171	588	583	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.i4a-b99b1d60f13e.txt	720,17	720,26	T	1427	718	709	15	24	F	R	6243517
5906.up-1b0920685429.txt	5906.i4a-c1080e26f60c.txt	720,17	720,22	T	1299	652	647	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.i4a-e0f3de4ca026.txt	720,17	720,22	T	1231	618	613	12	17	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-025c4805fc39.txt	720,17	720,17	T	1284	642	642	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-031568aa1b5c.txt	720,17	720,17	T	1240	620	620	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-06f4ba2c8122.txt	720,17	720,23	T	1050	528	522	3	9	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-09c105553d61.txt	720,17	720,23	T	906	456	450	3	9	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-0d13fc4a8a4a.txt	720,17	720,21	T	1148	576	572	12	16	F	F	1643527
5906.up-1b0920685429.txt	5906.lswap-0de54c0a7bb6.txt	720,17	720,17	T	1312	656	656	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-10f62906b166.txt	720,17	720,23	T	906	456	450	3	9	F	F	1462537
5906.up-1b0920685429.txt	5906.lswap-17203113788c.txt	720,17	720,17	T	1300	650	650	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-17946ea8ba63.txt	720,17	720,17	T	1328	664	664	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-1e70957354f1.txt	720,17	720,17	T	1324	662	662	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-1f8e06e3e616.txt	720,17	720,22	T	1147	576	571	12	17	F	F	1643527
5906.up-1b0920685429.txt	5906.lswap-20db05a5b51e.txt	720,17	720,17	T	1356	678	678	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-23548cda0ace.txt	720,17	720,23	T	1050	528	522	3	9	F	F	1462537
5906.up-1b0920685429.txt	5906.lswap-2497c9291398.txt	720,17	720,17	T	1264	632	632	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-25804d565b10.txt	720,17	720,17	T	1288	644	644	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-25cebe1ff658.txt	720,17	720,17	T	1360	680	680	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-28b97fbb68d1.txt	720,17	720,23	T	918	462	456	3	9	F	F	1462537
5906.up-1b0920685429.txt	5906.lswap-29ee6f7c1197.txt	720,17	720,17	T	1308	654	654	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-2ae54d2fd96c.txt	720,17	720,17	T	1264	632	632	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-2c94cb485ad7.txt	720,17	720,17	T	1140	570	570	0	0	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-2fb529601be6.txt	720,17	720,17	T	1348	674	674	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-3a55a72f70d6.txt	720,17	720,23	T	894	450	444	3	9	F	F	1462537
5906.up-1b0920685429.txt	5906.lswap-3b4f2e286e0c.txt	720,17	720,17	T	1344	672	672	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-3b66fbdbdf53.txt	720,17	720,17	T	1264	632	632	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-3baeeea281f2.txt	720,17	720,17	T	1276	638	638	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-3c791ffa671d.txt	720,17	720,17	T	1312	656	656	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-3d82ae1f2111.txt	720,17	720,17	T	1348	674	674	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-41a210488ac9.txt	720,17	720,17	T	1288	644	644	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-423441640591.txt	720,17	720,17	T	1336	668	668	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-469763027c57.txt	720,17	720,17	T	1324	662	662	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-49fac07a5323.txt	720,17	720,17	T	1288	644	644	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-49fc63d034f2.txt	720,17	720,17	T	1332	666	666	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-4a581202d46c.txt	720,17	720,17	T	1352	676	676	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-4c179f65aa4b.txt	720,17	720,17	T	1320	660	660	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-5228890279ca.txt	720,17	720,17	T	1300	650	650	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-52e683fb05d3.txt	720,17	720,17	T	1288	644	644	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-52f45c5e8e22.txt	720,17	720,17	T	1312	656	656	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-5764c730eaee.txt	720,17	720,17	T	1348	674	674	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-5808edca979d.txt	720,17	720,17	T	1308	654	654	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-5a55d1641a86.txt	720,17	720,17	T	1276	638	638	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-5a7a973564fd.txt	720,17	720,17	T	1336	668	668	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-5dbb54e50268.txt	720,17	720,17	T	1288	644	644	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-6008b60b1c2c.txt	720,17	720,17	T	1352	676	676	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-62d959eb4e73.txt	720,17	720,17	T	1264	632	632	14	14	F	F	5264137
5906.up-1b0920685429.txt	5906.lswap-637b5054102a.txt	720,17	720,21	T	1312	658	654	12	16	F	F	1643527
5906.up-1b0920685429.txt	5906.lswap-67fc5c2184ab.txt	720,17	720,23	T	906	456	450	3	9	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-68a263f18066.txt	720,17	720,17	T	1352	676	676	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-6bd82af50a4e.txt	720,17	720,17	T	1336	668	668	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-6d0ad177e5ee.txt	720,17	720,17	T	1288	644	644	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-6d7ea156bdcc.txt	720,17	720,17	T	1312	656	656	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-6dc582bac458.txt	720,17	720,22	T	1287	646	641	12	17	F	F	1643527
5906.up-1b0920685429.txt	5906.lswap-6f6f375dca74.txt	720,17	720,17	T	1324	662	662	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-7217a0cd3774.txt	720,17	720,17	T	1324	662	662	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-73851215f718.txt	720,17	720,17	T	1336	668	668	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-7602ba885180.txt	720,17	720,17	T	1300	650	650	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-760f8ed53670.txt	720,17	720,22	T	1147	576	571	12	17	F	R	1234567
5906.up-1b0920685429.txt	5906.lswap-7bd46049981f.txt	720,17	720,17	T	1348	674	674	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-7f47c6e6eeda.txt	720,17	720,17	T	1240	620	620	14	14	F	R	5264137
5906.up-1b0920685429.txt	5906.lswap-80e6c24a2613.txt	720,17	720,17	T	1312	656	656	14	14	F	F	1234567
5906.up-1b0920685429.txt	5906.lswap-821102adfff8.txt	720,17	720,17	T	1312	656	656	14	14	F	R	5264137
