blind	o_src	target	o_tgt	symdiff	ents_out	ents_in	doors_out	doors_in	sumset_hits
5906.up-1b0920685429.txt	F	5906.up-63a938be8d73.txt	F	528	264	264	0	0	0
5906.up-1b0920685429.txt	F	5906.up-63a938be8d73.txt	R	528	264	264	0	0	0
5906.up-1b0920685429.txt	R	5906.up-63a938be8d73.txt	F	528	264	264	0	0	0
5906.up-1b0920685429.txt	R	5906.up-63a938be8d73.txt	R	528	264	264	0	0	0
5906.up-1b0920685429.txt	F	5906.lswap-c394b34cb7cc.txt	F	564	282	282	0	0	0
5906.up-1b0920685429.txt	F	5906.lswap-c394b34cb7cc.txt	R	564	282	282	0	0	0
5906.up-1b0920685429.txt	R	5906.lswap-c394b34cb7cc.txt	F	564	282	282	0	0	0
5906.up-1b0920685429.txt	R	5906.lswap-c394b34cb7cc.txt	R	564	282	282	0	0	0
5906.up-1b0920685429.txt	F	5906.up-d8c6ba46400e.txt	F	600	300	300	0	0	0
5906.up-1b0920685429.txt	F	5906.up-d8c6ba46400e.txt	R	600	300	300	0	0	0
5906.up-1b0920685429.txt	R	5906.up-d8c6ba46400e.txt	F	600	300	300	0	0	0
5906.up-1b0920685429.txt	R	5906.up-d8c6ba46400e.txt	R	600	300	300	0	0	0
5906.up-1b0920685429.txt	F	5906.up-55058cab6cba.txt	F	840	420	420	0	0	0
5906.up-1b0920685429.txt	F	5906.up-55058cab6cba.txt	R	840	420	420	0	0	0
5906.up-1b0920685429.txt	R	5906.up-55058cab6cba.txt	F	840	420	420	0	0	0
5906.up-1b0920685429.txt	R	5906.up-55058cab6cba.txt	R	840	420	420	0	0	0
5906.up-1b0920685429.txt	F	5906.lswap-fde8e0f0f322.txt	F	888	444	444	0	0	0
5906.up-1b0920685429.txt	F	5906.lswap-fde8e0f0f322.txt	R	888	444	444	0	0	0
5906.up-1b0920685429.txt	R	5906.lswap-fde8e0f0f322.txt	F	888	444	444	0	0	0
5906.up-1b0920685429.txt	R	5906.lswap-fde8e0f0f322.txt	R	888	444	444	0	0	0
5906.up-1b0920685429.txt	F	5906.lswap-3a55a72f70d6.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-3a55a72f70d6.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.up-6597315411ea.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.up-6597315411ea.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.up-d1489855deef.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.up-d1489855deef.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.lswap-3a55a72f70d6.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.lswap-3a55a72f70d6.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.up-6597315411ea.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.up-6597315411ea.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.up-d1489855deef.txt	F	894	450	444	3	9	0
5906.up-1b0920685429.txt	R	5906.up-d1489855deef.txt	R	894	450	444	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-09c105553d61.txt	F	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-09c105553d61.txt	R	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-10f62906b166.txt	F	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-10f62906b166.txt	R	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-67fc5c2184ab.txt	F	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-67fc5c2184ab.txt	R	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-db110b7302cf.txt	F	906	456	450	3	9	0
5906.up-1b0920685429.txt	F	5906.lswap-db110b7302cf.txt	R	906	456	450	3	9	0
5906.up-1b0920685429.txt	R	5906.lswap-09c105553d61.txt	F	906	456	450	3	9	0
5906.up-1b0920685429.txt	R	5906.lswap-09c105553d61.txt	R	906	456	450	3	9	0
