n	source_class	target_class	rule
6	873.w4lift-010c80158e14.txt	873.w4lift-3d34d2ecc257.txt	fe352d21e631
6	873.w4lift-02e4398ab1bc.txt	873.w4lift-c15c3b7de0d2.txt	3a8553ef777a
6	873.w4lift-02e4398ab1bc.txt	873.w4lift-c86c3ec85ad7.txt	9a9c0f8835c0
6	873.w4lift-04266b39cf20.txt	873.w4lift-b3608e6912b6.txt	9a9c0f8835c0
6	873.w4lift-04cf2f2bfcfc.txt	873.w4lift-3a2d58cc764b.txt	9a9c0f8835c0
6	873.w4lift-064e73f8aaa9.txt	873.w4lift-8c31211fed69.txt	9a9c0f8835c0
6	873.w4lift-065091c647be.txt	873.w4lift-cb26a02b5cff.txt	9a9c0f8835c0
6	873.w4lift-06d9b5ac0aec.txt	873.w4lift-0b8de8822ee0.txt	9a9c0f8835c0
6	873.w4lift-06d9b5ac0aec.txt	873.w4lift-e8370f507209.txt	777bc2db3e2a
6	873.w4lift-080f6c45c387.txt	873.w4lift-09562fda7acf.txt	31c3e6b1c405
6	873.w4lift-080f6c45c387.txt	873.w4lift-09562fda7acf.txt	af5ed6a8b845
6	873.w4lift-080f6c45c387.txt	873.w4lift-0e76e182d4b1.txt	7336473ea32f
6	873.w4lift-080f6c45c387.txt	873.w4lift-0e76e182d4b1.txt	d89de86297ee
6	873.w4lift-080f6c45c387.txt	873.w4lift-b3535203faac.txt	9a9c0f8835c0
6	873.w4lift-080f6c45c387.txt	873.w4lift-ec7a591181ef.txt	7336473ea32f
6	873.w4lift-080f6c45c387.txt	873.w4lift-ec7a591181ef.txt	d89de86297ee
6	873.w4lift-095295326550.txt	873.w4lift-9c6dd0bafce3.txt	9a9c0f8835c0
6	873.w4lift-09562fda7acf.txt	873.w4lift-080f6c45c387.txt	31c3e6b1c405
6	873.w4lift-09562fda7acf.txt	873.w4lift-080f6c45c387.txt	af5ed6a8b845
6	873.w4lift-09562fda7acf.txt	873.w4lift-0e76e182d4b1.txt	3a89b75685b3
6	873.w4lift-09562fda7acf.txt	873.w4lift-1302beec9d26.txt	7336473ea32f
6	873.w4lift-09562fda7acf.txt	873.w4lift-1302beec9d26.txt	d89de86297ee
6	873.w4lift-09562fda7acf.txt	873.w4lift-4d9a43ee2678.txt	9a9c0f8835c0
6	873.w4lift-09562fda7acf.txt	873.w4lift-9df2ff1c4dd0.txt	31c3e6b1c405
6	873.w4lift-09562fda7acf.txt	873.w4lift-9df2ff1c4dd0.txt	af5ed6a8b845
6	873.w4lift-09562fda7acf.txt	873.w4lift-b3535203faac.txt	9a9c0f8835c0
6	873.w4lift-09562fda7acf.txt	873.w4lift-ec7a591181ef.txt	7336473ea32f
6	873.w4lift-09562fda7acf.txt	873.w4lift-ec7a591181ef.txt	d89de86297ee
6	873.w4lift-096918a37b4c.txt	873.w4lift-ee0b45394a5c.txt	fe352d21e631
6	873.w4lift-0975ebf1000a.txt	873.w4lift-afe8c71fafd0.txt	9a9c0f8835c0
6	873.w4lift-0b8de8822ee0.txt	873.w4lift-06d9b5ac0aec.txt	9a9c0f8835c0
6	873.w4lift-0b8de8822ee0.txt	873.w4lift-e8370f507209.txt	3a8553ef777a
6	873.w4lift-0ba310f1118f.txt	873.w4lift-3e0817675924.txt	9a9c0f8835c0
6	873.w4lift-0c9c654cc184.txt	873.w4lift-2c2e132881a6.txt	9a9c0f8835c0
6	873.w4lift-0cc36aa58d81.txt	873.w4lift-362c4c38f675.txt	9a9c0f8835c0
6	873.w4lift-0cc36aa58d81.txt	873.w4lift-661c9530f76f.txt	7439442d96f5
6	873.w4lift-0ce6c400d007.txt	873.w4lift-eddffc8411f7.txt	fe352d21e631
6	873.w4lift-0dad3d6ca96d.txt	873.w4lift-1954bb004e51.txt	9a9c0f8835c0
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-080f6c45c387.txt	7336473ea32f
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-080f6c45c387.txt	d89de86297ee
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-09562fda7acf.txt	3a89b75685b3
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-4d9a43ee2678.txt	9a9c0f8835c0
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-9df2ff1c4dd0.txt	7336473ea32f
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-9df2ff1c4dd0.txt	d89de86297ee
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-a06295a0379d.txt	9a9c0f8835c0
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-b3535203faac.txt	9a9c0f8835c0
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-ec7a591181ef.txt	31c3e6b1c405
6	873.w4lift-0e76e182d4b1.txt	873.w4lift-ec7a591181ef.txt	af5ed6a8b845
6	873.w4lift-0fcf9c3ad140.txt	873.w4lift-380da33f0c08.txt	9a9c0f8835c0
6	873.w4lift-100b5ed6badb.txt	873.w4lift-2c2e132881a6.txt	7439442d96f5
6	873.w4lift-10259551e038.txt	873.w4lift-5d22ce1f2906.txt	9a9c0f8835c0
6	873.w4lift-10259551e038.txt	873.w4lift-c4185d2d44df.txt	9a9c0f8835c0
6	873.w4lift-11e56b8b5879.txt	873.w4lift-24014ed211a5.txt	9a9c0f8835c0
6	873.w4lift-12b36f40d22e.txt	873.w4lift-7b829ed573c6.txt	9a9c0f8835c0
6	873.w4lift-12f8e1413b53.txt	873.w4lift-1302beec9d26.txt	7439442d96f5
6	873.w4lift-1302beec9d26.txt	873.w4lift-09562fda7acf.txt	7336473ea32f
6	873.w4lift-1302beec9d26.txt	873.w4lift-09562fda7acf.txt	d89de86297ee
6	873.w4lift-1302beec9d26.txt	873.w4lift-12f8e1413b53.txt	7439442d96f5
6	873.w4lift-1302beec9d26.txt	873.w4lift-97c55efd9af4.txt	9a9c0f8835c0
6	873.w4lift-16483de5a904.txt	873.w4lift-3e0817675924.txt	9a9c0f8835c0
6	873.w4lift-1686c85adbff.txt	873.w4lift-c1e73df81c24.txt	fe352d21e631
6	873.w4lift-18373c4593df.txt	873.w4lift-ec4706478f57.txt	7439442d96f5
6	873.w4lift-1954bb004e51.txt	873.w4lift-0dad3d6ca96d.txt	9a9c0f8835c0
6	873.w4lift-19f024bc6c24.txt	873.w4lift-d43ca34f4e35.txt	7439442d96f5
6	873.w4lift-19f024bc6c24.txt	873.w4lift-fb70d1111e45.txt	9a9c0f8835c0
6	873.w4lift-1ba8f80e8e98.txt	873.w4lift-f912b33a2a90.txt	9a9c0f8835c0
6	873.w4lift-1d2097b547c0.txt	873.w4lift-bcf14f4c0f61.txt	9a9c0f8835c0
6	873.w4lift-1f7ce0c40e4e.txt	873.w4lift-ef002e98cad0.txt	7336473ea32f
6	873.w4lift-1f7ce0c40e4e.txt	873.w4lift-ef002e98cad0.txt	d89de86297ee
6	873.w4lift-1f9a3a6ad084.txt	873.w4lift-a6f43bef475b.txt	9a9c0f8835c0
6	873.w4lift-211066b4efa1.txt	873.w4lift-2e40dd560205.txt	9a9c0f8835c0
6	873.w4lift-23ebf37c4b7d.txt	873.w4lift-ea9b71f9f63e.txt	9a9c0f8835c0
6	873.w4lift-24014ed211a5.txt	873.w4lift-11e56b8b5879.txt	9a9c0f8835c0
6	873.w4lift-2472d27a4a58.txt	873.w4lift-c15c3b7de0d2.txt	9a9c0f8835c0
6	873.w4lift-2526814c80b7.txt	873.w4lift-b2346d89751d.txt	fe352d21e631
6	873.w4lift-263224329d9d.txt	873.w4lift-a776d286758c.txt	7336473ea32f
6	873.w4lift-263224329d9d.txt	873.w4lift-a776d286758c.txt	d89de86297ee
6	873.w4lift-276c8aeb2501.txt	873.w4lift-968f91aad8a6.txt	9a9c0f8835c0
6	873.w4lift-27d9a372c798.txt	873.w4lift-934474ce0c55.txt	9a9c0f8835c0
6	873.w4lift-280bfe3f86db.txt	873.w4lift-9606b423c504.txt	9a9c0f8835c0
6	873.w4lift-2827cd1a0c0b.txt	873.w4lift-e2e7e9e7db97.txt	9a9c0f8835c0
6	873.w4lift-2a2ab46bad7f.txt	873.w4lift-9dbab8172278.txt	9a9c0f8835c0
6	873.w4lift-2a69c6b6d2c4.txt	873.w4lift-4527ec9a1399.txt	7439442d96f5
6	873.w4lift-2ab7b5646f8e.txt	873.w4lift-3dd725e29a7c.txt	9a9c0f8835c0
6	873.w4lift-2aecb72d34e5.txt	873.w4lift-9f3216ce2f3f.txt	9a9c0f8835c0
6	873.w4lift-2ba05a57b645.txt	873.w4lift-2ff4d1990a24.txt	9a9c0f8835c0
6	873.w4lift-2c2e132881a6.txt	873.w4lift-0c9c654cc184.txt	9a9c0f8835c0
6	873.w4lift-2c2e132881a6.txt	873.w4lift-100b5ed6badb.txt	7439442d96f5
6	873.w4lift-2d7836ce46a2.txt	873.w4lift-e339b3191997.txt	9a9c0f8835c0
6	873.w4lift-2e35740c9113.txt	873.w4lift-a5395a4ff4d7.txt	fe352d21e631
6	873.w4lift-2e40dd560205.txt	873.w4lift-211066b4efa1.txt	9a9c0f8835c0
6	873.w4lift-2f206816d15b.txt	873.w4lift-b965edb6d0e4.txt	9a9c0f8835c0
6	873.w4lift-2ff4d1990a24.txt	873.w4lift-2ba05a57b645.txt	9a9c0f8835c0
6	873.w4lift-314f2a9adc12.txt	873.w4lift-a1e4fbb1f6da.txt	9a9c0f8835c0
6	873.w4lift-314f2a9adc12.txt	873.w4lift-bb70fe16e865.txt	7439442d96f5
6	873.w4lift-314f2a9adc12.txt	873.w4lift-bde245a5c4b9.txt	7336473ea32f
6	873.w4lift-314f2a9adc12.txt	873.w4lift-bde245a5c4b9.txt	d89de86297ee
6	873.w4lift-322218602b64.txt	873.w4lift-82bdf482a351.txt	fe352d21e631
6	873.w4lift-325e05060916.txt	873.w4lift-c6f2145e405c.txt	9a9c0f8835c0
6	873.w4lift-3612c0e65483.txt	873.w4lift-b7a79867da0a.txt	9a9c0f8835c0
6	873.w4lift-362c4c38f675.txt	873.w4lift-0cc36aa58d81.txt	9a9c0f8835c0
6	873.w4lift-375e7a359675.txt	873.w4lift-a9048b09b50b.txt	9a9c0f8835c0
