n	source_class	target_class	rule
7	5906.i4a-29c55ed5fbf6.txt	5906.i4a-c1080e26f60c.txt	9729dc5f53f8
7	5906.i4a-29c55ed5fbf6.txt	5906.up-56126e7237c3.txt	172c8ba32158
7	5906.i4a-50d865ca7907.txt	5906.i4a-b99b1d60f13e.txt	6714c4a96bb4
7	5906.i4a-50d865ca7907.txt	5906.up-d0b9281ca469.txt	dbe526a6a452
7	5906.i4a-b99b1d60f13e.txt	5906.i4a-50d865ca7907.txt	6714c4a96bb4
7	5906.i4a-b99b1d60f13e.txt	5906.up-890b6674bd25.txt	cbba85d1efba
7	5906.i4a-c1080e26f60c.txt	5906.i4a-29c55ed5fbf6.txt	4ecba60aa35e
7	5906.i4a-c1080e26f60c.txt	5906.up-bd458e7fc19e.txt	68b839f8740c
7	5906.up-0a065898a821.txt	5906.up-377da0a3c300.txt	7c2769543fc5
7	5906.up-0a065898a821.txt	5906.up-72482a71c81e.txt	8a34ad08d7c8
7	5906.up-0a065898a821.txt	5906.up-f2c7804be474.txt	862a0b139699
7	5906.up-14e2c7b29aae.txt	5906.up-a838f31a7b4f.txt	2c806c1bf6e3
7	5906.up-168d62e1a9d1.txt	5906.up-2cb6c1139592.txt	2c806c1bf6e3
7	5906.up-1bced7f87a93.txt	5906.up-a233fdf94b8d.txt	f58a0fb1697c
7	5906.up-207dc5352d35.txt	5906.up-37ac2db82134.txt	ea1ae55099c1
7	5906.up-23ca8a9bcc81.txt	5906.up-aed220b1ebc4.txt	7c2769543fc5
7	5906.up-2cb6c1139592.txt	5906.up-168d62e1a9d1.txt	7c2769543fc5
7	5906.up-377da0a3c300.txt	5906.up-0a065898a821.txt	2c806c1bf6e3
7	5906.up-377da0a3c300.txt	5906.up-72482a71c81e.txt	afb4c322ff24
7	5906.up-377da0a3c300.txt	5906.up-f2c7804be474.txt	8a34ad08d7c8
7	5906.up-37ac2db82134.txt	5906.up-207dc5352d35.txt	cb47d5e063e0
7	5906.up-56126e7237c3.txt	5906.i4a-29c55ed5fbf6.txt	3187a6ab820d
7	5906.up-56126e7237c3.txt	5906.up-bd458e7fc19e.txt	4ecba60aa35e
7	5906.up-6597315411ea.txt	5906.up-c3afee7ed153.txt	7c2769543fc5
7	5906.up-6597315411ea.txt	5906.up-c63a66adbc60.txt	862a0b139699
7	5906.up-6597315411ea.txt	5906.up-d1489855deef.txt	8a34ad08d7c8
7	5906.up-6f42b3603dac.txt	5906.up-7f9a93193f10.txt	8a34ad08d7c8
7	5906.up-72482a71c81e.txt	5906.up-0a065898a821.txt	eb70d1e95c8b
7	5906.up-72482a71c81e.txt	5906.up-377da0a3c300.txt	dc0416c80bc5
7	5906.up-72482a71c81e.txt	5906.up-f2c7804be474.txt	7c2769543fc5
7	5906.up-78d638be95ae.txt	5906.up-e65e244c83d3.txt	f58a0fb1697c
7	5906.up-7c111e182316.txt	5906.up-b2d6bec1e3bd.txt	2c806c1bf6e3
7	5906.up-7f9a93193f10.txt	5906.up-6f42b3603dac.txt	eb70d1e95c8b
7	5906.up-890b6674bd25.txt	5906.i4a-b99b1d60f13e.txt	00a156b3c4d8
