n	source_class	target_class	rule
7	5906.lswap-025c4805fc39.txt	5906.lswap-52e683fb05d3.txt	e7dc2a75bdd1
7	5906.lswap-06f4ba2c8122.txt	5906.up-d8c6ba46400e.txt	7ba96ea7958d
7	5906.lswap-09c105553d61.txt	5906.up-d8c6ba46400e.txt	9dc03b0de11a
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-1e70957354f1.txt	803ec382c593
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-2fb529601be6.txt	bb3307fb0884
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-3c791ffa671d.txt	08228ec67eb6
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-3c791ffa671d.txt	13a2ca857332
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-423441640591.txt	ab99b7547904
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-423441640591.txt	d88a6cb7c03b
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-73851215f718.txt	67eacd157bbc
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-73851215f718.txt	90d033b7ddbf
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-821102adfff8.txt	67eacd157bbc
7	5906.lswap-0de54c0a7bb6.txt	5906.lswap-821102adfff8.txt	90d033b7ddbf
7	5906.lswap-0de54c0a7bb6.txt	5906.up-23ca8a9bcc81.txt	c958df8ea4c3
7	5906.lswap-0de54c0a7bb6.txt	5906.up-b2d6bec1e3bd.txt	4728d8e5f3d2
7	5906.lswap-10f62906b166.txt	5906.up-d8c6ba46400e.txt	33247298e6a4
7	5906.lswap-17203113788c.txt	5906.lswap-1e70957354f1.txt	a1764f88e216
7	5906.lswap-17203113788c.txt	5906.lswap-2fb529601be6.txt	99fff9a726b2
7	5906.lswap-17203113788c.txt	5906.lswap-423441640591.txt	f08b1ddb7e4d
7	5906.lswap-17203113788c.txt	5906.lswap-423441640591.txt	fd3d2036ee73
7	5906.lswap-17203113788c.txt	5906.lswap-73851215f718.txt	5c5648cddbd6
7	5906.lswap-17203113788c.txt	5906.lswap-821102adfff8.txt	55ebb8b168a5
7	5906.lswap-17203113788c.txt	5906.lswap-9a5cc6a6e3c8.txt	92cca1ec54bb
7	5906.lswap-17203113788c.txt	5906.lswap-afd973e1a915.txt	fe22f3e91d6f
7	5906.lswap-17203113788c.txt	5906.up-23ca8a9bcc81.txt	b71368c91055
7	5906.lswap-17203113788c.txt	5906.up-aed220b1ebc4.txt	e50393a8ba1d
7	5906.lswap-17946ea8ba63.txt	5906.up-02d771908307.txt	b9d178e37207
7	5906.lswap-17946ea8ba63.txt	5906.up-454308027985.txt	3a9ca4131cc4
7	5906.lswap-1e70957354f1.txt	5906.lswap-0de54c0a7bb6.txt	48c30fab9556
7	5906.lswap-1e70957354f1.txt	5906.lswap-17203113788c.txt	e43c9981a5c7
7	5906.lswap-1e70957354f1.txt	5906.lswap-25804d565b10.txt	c570f33b6777
7	5906.lswap-1e70957354f1.txt	5906.lswap-3b4f2e286e0c.txt	51225a9bb93e
7	5906.lswap-1e70957354f1.txt	5906.lswap-3baeeea281f2.txt	a9587b440eca
7	5906.lswap-1e70957354f1.txt	5906.lswap-41a210488ac9.txt	430f8ba0d5bf
7	5906.lswap-1e70957354f1.txt	5906.lswap-469763027c57.txt	ab105a248a1e
7	5906.lswap-1e70957354f1.txt	5906.lswap-469763027c57.txt	c7858d81e8da
7	5906.lswap-1e70957354f1.txt	5906.lswap-5228890279ca.txt	a9587b440eca
7	5906.lswap-1e70957354f1.txt	5906.lswap-52f45c5e8e22.txt	e03995ff4434
7	5906.lswap-1e70957354f1.txt	5906.lswap-5764c730eaee.txt	306d4d2a2ee6
7	5906.lswap-1e70957354f1.txt	5906.lswap-5a55d1641a86.txt	e6a2ec270f5f
7	5906.lswap-1e70957354f1.txt	5906.lswap-5a7a973564fd.txt	260bf1dba9d6
7	5906.lswap-1e70957354f1.txt	5906.lswap-5dbb54e50268.txt	e77bc6cdc11d
7	5906.lswap-1e70957354f1.txt	5906.lswap-6bd82af50a4e.txt	518f9139e0cb
7	5906.lswap-1e70957354f1.txt	5906.lswap-6d0ad177e5ee.txt	1ba1dace333f
7	5906.lswap-1e70957354f1.txt	5906.lswap-6d7ea156bdcc.txt	ab11977fcf47
7	5906.lswap-1e70957354f1.txt	5906.lswap-6f6f375dca74.txt	c442200796dc
7	5906.lswap-1e70957354f1.txt	5906.lswap-7602ba885180.txt	151c9d94814a
7	5906.lswap-1e70957354f1.txt	5906.lswap-7602ba885180.txt	3f4b1bcb6fa8
7	5906.lswap-1e70957354f1.txt	5906.lswap-80e6c24a2613.txt	c570f33b6777
7	5906.lswap-1e70957354f1.txt	5906.lswap-964ebce5847f.txt	3f5aa66e7f8b
7	5906.lswap-1e70957354f1.txt	5906.lswap-9759fb4af500.txt	687cb1131075
7	5906.lswap-1e70957354f1.txt	5906.lswap-9f3672f6c430.txt	e77bc6cdc11d
7	5906.lswap-1e70957354f1.txt	5906.lswap-a28e203d65dc.txt	51225a9bb93e
7	5906.lswap-1e70957354f1.txt	5906.lswap-a7d2db45842b.txt	7c9659982f8f
7	5906.lswap-1e70957354f1.txt	5906.lswap-af54b6f406a6.txt	e274eb8a1d46
7	5906.lswap-1e70957354f1.txt	5906.lswap-b12d38608f09.txt	9ffeb4ce9bae
7	5906.lswap-1e70957354f1.txt	5906.lswap-b55f23a2f470.txt	260bf1dba9d6
7	5906.lswap-1e70957354f1.txt	5906.lswap-be4759bc731a.txt	9ed61ed63d31
7	5906.lswap-1e70957354f1.txt	5906.lswap-cae9c3b46793.txt	c32545fa8a66
7	5906.lswap-1e70957354f1.txt	5906.lswap-cae9c3b46793.txt	e311a814616f
7	5906.lswap-1e70957354f1.txt	5906.lswap-df71274e07be.txt	1ba1dace333f
7	5906.lswap-1e70957354f1.txt	5906.lswap-e0920da719d9.txt	9ffeb4ce9bae
7	5906.lswap-1e70957354f1.txt	5906.lswap-e2d18fca77cb.txt	2700c8747c7b
7	5906.lswap-1e70957354f1.txt	5906.lswap-eeb9a73f4b33.txt	b0e623c58504
7	5906.lswap-1e70957354f1.txt	5906.lswap-f6dbf9989449.txt	151c9d94814a
7	5906.lswap-1e70957354f1.txt	5906.lswap-f6dbf9989449.txt	3f4b1bcb6fa8
7	5906.lswap-1e70957354f1.txt	5906.up-2cb6c1139592.txt	5e3e40b58466
7	5906.lswap-1e70957354f1.txt	5906.up-eebb02e3baec.txt	c2220252475b
7	5906.lswap-23548cda0ace.txt	5906.up-d8c6ba46400e.txt	e710971edcbf
7	5906.lswap-2497c9291398.txt	5906.lswap-7f47c6e6eeda.txt	a50ba88437d8
7	5906.lswap-25804d565b10.txt	5906.lswap-1e70957354f1.txt	e05f876a6f8d
7	5906.lswap-25804d565b10.txt	5906.lswap-2fb529601be6.txt	de447a54d5c6
7	5906.lswap-25804d565b10.txt	5906.lswap-423441640591.txt	fee203226e22
7	5906.lswap-25804d565b10.txt	5906.lswap-469763027c57.txt	4fee2fcf1569
7	5906.lswap-25804d565b10.txt	5906.lswap-49fac07a5323.txt	a50ba88437d8
7	5906.lswap-25804d565b10.txt	5906.lswap-73851215f718.txt	b742e93fcefe
7	5906.lswap-25804d565b10.txt	5906.lswap-821102adfff8.txt	9c07b36d20b9
7	5906.lswap-25804d565b10.txt	5906.up-23ca8a9bcc81.txt	ebacd04c78bb
7	5906.lswap-25804d565b10.txt	5906.up-aed220b1ebc4.txt	438b84033bfa
7	5906.lswap-28b97fbb68d1.txt	5906.up-d8c6ba46400e.txt	ea4add0f39cc
7	5906.lswap-29ee6f7c1197.txt	5906.up-0d2e98183c29.txt	e7dc2a75bdd1
7	5906.lswap-29ee6f7c1197.txt	5906.up-331e3f0f91ee.txt	f84b983d9afb
7	5906.lswap-2ae54d2fd96c.txt	5906.lswap-a7d2db45842b.txt	f76742e7df1c
