n	source_class	target_class	rule
7	5906.i4a-29c55ed5fbf6.txt	5906.i4a-c1080e26f60c.txt	9729dc5f53f8
7	5906.i4a-29c55ed5fbf6.txt	5906.up-56126e7237c3.txt	172c8ba32158
7	5906.i4a-50d865ca7907.txt	5906.i4a-b99b1d60f13e.txt	6714c4a96bb4
7	5906.i4a-50d865ca7907.txt	5906.up-d0b9281ca469.txt	dbe526a6a452
7	5906.i4a-66637a3b8941.txt	5906.i4a-7f46c8149026.txt	d0f1e2321709
7	5906.i4a-66637a3b8941.txt	5906.up-6a142cb8e27d.txt	f1af17db564a
7	5906.i4a-7f46c8149026.txt	5906.i4a-66637a3b8941.txt	d0f1e2321709
7	5906.i4a-7f46c8149026.txt	5906.up-1206598d1ff0.txt	cfe46d0a2eed
7	5906.i4a-b99b1d60f13e.txt	5906.i4a-50d865ca7907.txt	6714c4a96bb4
7	5906.i4a-b99b1d60f13e.txt	5906.up-890b6674bd25.txt	cbba85d1efba
7	5906.i4a-c1080e26f60c.txt	5906.i4a-29c55ed5fbf6.txt	4ecba60aa35e
7	5906.i4a-c1080e26f60c.txt	5906.up-bd458e7fc19e.txt	68b839f8740c
7	5906.up-02d771908307.txt	5906.up-9a915a83c416.txt	9b8ddcec1214
7	5906.up-0a065898a821.txt	5906.up-377da0a3c300.txt	7c2769543fc5
7	5906.up-0a065898a821.txt	5906.up-63a938be8d73.txt	2ca0aa902a05
7	5906.up-0a065898a821.txt	5906.up-6597315411ea.txt	65d9c5d02da1
7	5906.up-0a065898a821.txt	5906.up-72482a71c81e.txt	8a34ad08d7c8
7	5906.up-0a065898a821.txt	5906.up-c3afee7ed153.txt	9a425576c7dd
7	5906.up-0a065898a821.txt	5906.up-c63a66adbc60.txt	e5adb9d02203
7	5906.up-0a065898a821.txt	5906.up-d1489855deef.txt	c957d4264558
7	5906.up-0a065898a821.txt	5906.up-f2c7804be474.txt	862a0b139699
7	5906.up-0d2e98183c29.txt	5906.up-168d62e1a9d1.txt	af945ab938fd
7	5906.up-0d2e98183c29.txt	5906.up-2cb6c1139592.txt	80b2932b3a5d
7	5906.up-0d2e98183c29.txt	5906.up-77512ee88848.txt	0d491f159886
7	5906.up-0db50fc7743c.txt	5906.up-16ca46d2c5a9.txt	3a3b52457923
7	5906.up-1206598d1ff0.txt	5906.i4a-7f46c8149026.txt	4f116897fd63
7	5906.up-1206598d1ff0.txt	5906.up-6a142cb8e27d.txt	d0f1e2321709
7	5906.up-14e2c7b29aae.txt	5906.up-168d62e1a9d1.txt	3a3b52457923
7	5906.up-14e2c7b29aae.txt	5906.up-5ce87c54ecea.txt	f0ace59fbec2
7	5906.up-14e2c7b29aae.txt	5906.up-77512ee88848.txt	eb8331df9ee8
7	5906.up-14e2c7b29aae.txt	5906.up-a838f31a7b4f.txt	2c806c1bf6e3
7	5906.up-168d62e1a9d1.txt	5906.up-0d2e98183c29.txt	eb8331df9ee8
7	5906.up-168d62e1a9d1.txt	5906.up-14e2c7b29aae.txt	0d491f159886
7	5906.up-168d62e1a9d1.txt	5906.up-2cb6c1139592.txt	2c806c1bf6e3
