n	source_class	target_class	rule
7	5906.i4a-29c55ed5fbf6.txt	5906.lswap-cf8339eb5ca7.txt	32eb67461a38
7	5906.i4a-c1080e26f60c.txt	5906.lswap-cf8339eb5ca7.txt	28343f6d7386
7	5906.lswap-025c4805fc39.txt	5906.lswap-031568aa1b5c.txt	429db3717944
7	5906.lswap-025c4805fc39.txt	5906.lswap-031568aa1b5c.txt	8821c9761a3f
7	5906.lswap-025c4805fc39.txt	5906.lswap-031568aa1b5c.txt	b081b754d26e
7	5906.lswap-025c4805fc39.txt	5906.lswap-3b66fbdbdf53.txt	5ff76078c599
7	5906.lswap-025c4805fc39.txt	5906.lswap-3b66fbdbdf53.txt	746b5fef63fc
7	5906.lswap-025c4805fc39.txt	5906.lswap-5808edca979d.txt	2e62188e3c8b
7	5906.lswap-025c4805fc39.txt	5906.lswap-5808edca979d.txt	48f9270682d9
7	5906.lswap-025c4805fc39.txt	5906.lswap-6d0ad177e5ee.txt	e616c3f821ef
7	5906.lswap-025c4805fc39.txt	5906.lswap-a7d2db45842b.txt	6e21f7e985fe
7	5906.lswap-025c4805fc39.txt	5906.lswap-af54b6f406a6.txt	d1acfe46465f
7	5906.lswap-025c4805fc39.txt	5906.lswap-df71274e07be.txt	e616c3f821ef
7	5906.lswap-025c4805fc39.txt	5906.lswap-e145b859ca30.txt	cb67e923a6ca
7	5906.lswap-031568aa1b5c.txt	5906.lswap-025c4805fc39.txt	62a74ce65faa
7	5906.lswap-031568aa1b5c.txt	5906.lswap-025c4805fc39.txt	b13177991e02
7	5906.lswap-031568aa1b5c.txt	5906.lswap-025c4805fc39.txt	d4ec6aadbefe
7	5906.lswap-031568aa1b5c.txt	5906.lswap-52e683fb05d3.txt	e616c3f821ef
7	5906.lswap-031568aa1b5c.txt	5906.lswap-5808edca979d.txt	833239f93d60
7	5906.lswap-031568aa1b5c.txt	5906.lswap-5dbb54e50268.txt	d1acfe46465f
7	5906.lswap-031568aa1b5c.txt	5906.lswap-62d959eb4e73.txt	5ff76078c599
7	5906.lswap-031568aa1b5c.txt	5906.lswap-62d959eb4e73.txt	746b5fef63fc
7	5906.lswap-031568aa1b5c.txt	5906.lswap-8ed814577309.txt	cb67e923a6ca
7	5906.lswap-031568aa1b5c.txt	5906.lswap-9a5cc6a6e3c8.txt	396fe6d979c3
7	5906.lswap-031568aa1b5c.txt	5906.lswap-df71274e07be.txt	cb67e923a6ca
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-10f62906b166.txt	c46ad2463388
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-28b97fbb68d1.txt	af8282bcbcba
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-3a55a72f70d6.txt	cf7caaa9c7fc
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-945cf8ae5bef.txt	6d61e25e2762
