n	source_class	target_class	rule
7	5906.lswap-10f62906b166.txt	5906.lswap-09c105553d61.txt	ab88abce72ba
7	5906.lswap-10f62906b166.txt	5906.lswap-28b97fbb68d1.txt	ab88abce72ba
7	5906.lswap-10f62906b166.txt	5906.lswap-3a55a72f70d6.txt	ab88abce72ba
7	5906.lswap-10f62906b166.txt	5906.lswap-67fc5c2184ab.txt	ab88abce72ba
7	5906.lswap-10f62906b166.txt	5906.lswap-8f58c699a11d.txt	65d9c5d02da1
7	5906.lswap-17203113788c.txt	5906.lswap-469763027c57.txt	ab88abce72ba
7	5906.lswap-17203113788c.txt	5906.lswap-6bd82af50a4e.txt	ab88abce72ba
7	5906.lswap-17203113788c.txt	5906.lswap-6d7ea156bdcc.txt	ab88abce72ba
7	5906.lswap-17203113788c.txt	5906.lswap-e59a6239aa79.txt	ab88abce72ba
7	5906.lswap-17946ea8ba63.txt	5906.lswap-4a581202d46c.txt	ab88abce72ba
7	5906.lswap-17946ea8ba63.txt	5906.lswap-68a263f18066.txt	ab88abce72ba
7	5906.lswap-17946ea8ba63.txt	5906.lswap-d515e64b87be.txt	ab88abce72ba
7	5906.lswap-17946ea8ba63.txt	5906.lswap-f8f86258580e.txt	ab88abce72ba
7	5906.lswap-23548cda0ace.txt	5906.lswap-06f4ba2c8122.txt	ab88abce72ba
7	5906.lswap-23548cda0ace.txt	5906.lswap-945cf8ae5bef.txt	ab88abce72ba
7	5906.lswap-23548cda0ace.txt	5906.lswap-9bf7e32c6472.txt	ab88abce72ba
7	5906.lswap-23548cda0ace.txt	5906.lswap-9f885c2a5e20.txt	ab88abce72ba
7	5906.lswap-23548cda0ace.txt	5906.lswap-db110b7302cf.txt	65d9c5d02da1
7	5906.lswap-2497c9291398.txt	5906.lswap-031568aa1b5c.txt	ab88abce72ba
7	5906.lswap-2497c9291398.txt	5906.lswap-52e683fb05d3.txt	ab88abce72ba
7	5906.lswap-2497c9291398.txt	5906.lswap-5808edca979d.txt	ab88abce72ba
7	5906.lswap-2497c9291398.txt	5906.lswap-9759fb4af500.txt	ab88abce72ba
7	5906.lswap-25804d565b10.txt	5906.lswap-52f45c5e8e22.txt	ab88abce72ba
7	5906.lswap-25804d565b10.txt	5906.lswap-9759fb4af500.txt	ab88abce72ba
7	5906.lswap-25804d565b10.txt	5906.lswap-afd973e1a915.txt	ab88abce72ba
7	5906.lswap-25804d565b10.txt	5906.lswap-b55f23a2f470.txt	af945ab938fd
7	5906.lswap-25804d565b10.txt	5906.lswap-e0920da719d9.txt	80b2932b3a5d
