n	source_class	target_class	rule
6	872.up-0001667cf07e.txt	872.up-17f347b1b062.txt	9a9c0f8835c0
6	872.up-0001667cf07e.txt	872.up-faa88ced305d.txt	9a9c0f8835c0
6	872.up-0002b23c8b50.txt	872.up-55fc9834a3c3.txt	9a9c0f8835c0
6	872.up-0002b23c8b50.txt	872.up-bef3a8a60e83.txt	9a9c0f8835c0
6	872.up-000516729f82.txt	872.up-3f9e5f2214ff.txt	7a94c5053e55
6	872.up-000516729f82.txt	872.up-6fa74c6dffbc.txt	9a9c0f8835c0
6	872.up-00095009e6dc.txt	872.up-8a153a1d11df.txt	9a9c0f8835c0
6	872.up-00095009e6dc.txt	872.up-fd3df15ab4df.txt	7a94c5053e55
6	872.up-000b972f4468.txt	872.up-b62e16d9b634.txt	9a9c0f8835c0
6	872.up-000e73438210.txt	872.up-420052409937.txt	9a9c0f8835c0
6	872.up-0016f92b927b.txt	872.up-2369955d8632.txt	9a9c0f8835c0
6	872.up-001bd2c1b7aa.txt	872.up-488846558de1.txt	9a9c0f8835c0
6	872.up-001bd2c1b7aa.txt	872.up-83ae3501ae5e.txt	9a9c0f8835c0
6	872.up-0021b9808bae.txt	872.up-f0a1baa2b37f.txt	9a9c0f8835c0
6	872.up-00318eec762b.txt	872.up-e04b98cf159c.txt	7a94c5053e55
6	872.up-0031da23ce35.txt	872.up-8e4d8316607e.txt	9a9c0f8835c0
6	872.up-0031da23ce35.txt	872.up-fb9f69b64f1c.txt	9a9c0f8835c0
6	872.up-0044344416cf.txt	872.up-e201c4074b60.txt	9a9c0f8835c0
6	872.up-004476c49335.txt	872.up-0130ae3751bd.txt	9a9c0f8835c0
6	872.up-004476c49335.txt	872.up-a0e6efce9577.txt	9a9c0f8835c0
6	872.up-0048ec80eee8.txt	872.up-94668516a084.txt	7a94c5053e55
6	872.up-004d81c1bab1.txt	872.up-ef8396c7e0dc.txt	9a9c0f8835c0
6	872.up-004ef1446a72.txt	872.up-8a483e4a02f2.txt	9a9c0f8835c0
6	872.up-00521bd2d408.txt	872.up-06427c54853b.txt	9a9c0f8835c0
6	872.up-00521bd2d408.txt	872.up-c2f9f3883579.txt	7a94c5053e55
6	872.up-0053020134f4.txt	872.up-91edded0cf8f.txt	9a9c0f8835c0
6	872.up-0053020134f4.txt	872.up-db9f36b686cd.txt	9a9c0f8835c0
6	872.up-0053020134f4.txt	872.up-e4349ae6f31e.txt	9a9c0f8835c0
6	872.up-00611b57e171.txt	872.up-052007a0deba.txt	9a9c0f8835c0
6	872.up-00611b57e171.txt	872.up-a425c481d976.txt	9a9c0f8835c0
6	872.up-0063705b0c5e.txt	872.up-1bdd3b8f7eeb.txt	9a9c0f8835c0
6	872.up-0065c844651a.txt	872.up-41e4a3c79403.txt	7a94c5053e55
6	872.up-00665d47344a.txt	872.up-658408ac9fd6.txt	9a9c0f8835c0
6	872.up-00665d47344a.txt	872.up-e2ae7b107215.txt	9a9c0f8835c0
6	872.up-00665d47344a.txt	872.up-ee2787460da1.txt	9a9c0f8835c0
6	872.up-006b2459a6c4.txt	872.up-dc02b616b972.txt	7a94c5053e55
6	872.up-006cb683eaf5.txt	872.up-dcf85068e1b2.txt	9a9c0f8835c0
6	872.up-007365305fb7.txt	872.up-4c6cf6ff3ce7.txt	9a9c0f8835c0
6	872.up-007365305fb7.txt	872.up-67f1cc5acb8e.txt	9a9c0f8835c0
6	872.up-007471bfd00e.txt	872.up-53aebb6f2a77.txt	7a94c5053e55
6	872.up-007471bfd00e.txt	872.up-97c92bc944a5.txt	9a9c0f8835c0
6	872.up-007a3aa59316.txt	872.up-2541c62b435e.txt	47c49d109d2f
6	872.up-007a3aa59316.txt	872.up-beb2dde56214.txt	9a9c0f8835c0
6	872.up-007a3aa59316.txt	872.up-f37f4a104bcc.txt	9a9c0f8835c0
6	872.up-007e4173d384.txt	872.up-40409bb8c5e0.txt	9a9c0f8835c0
6	872.up-007e4173d384.txt	872.up-ab63af63e711.txt	9a9c0f8835c0
6	872.up-007fa46110dc.txt	872.up-585820748a9b.txt	9a9c0f8835c0
6	872.up-0082179c2825.txt	872.up-de7c1b01ce0c.txt	9a9c0f8835c0
6	872.up-00881588ba44.txt	872.up-7d2a9204ea11.txt	9a9c0f8835c0
