source_class	target_class	move
5906.lswap-9bd2a50baa0e.txt	5906.rbnd-0dad091b8ac4.txt	REV-END
5906.lswap-9bd2a50baa0e.txt	5906.rbnd-0dad091b8ac4.txt	REV-START
5906.lswap-9bd2a50baa0e.txt	5906.rbnd-2641d60c9d5c.txt	REV-END
5906.lswap-9bd2a50baa0e.txt	5906.rbnd-2641d60c9d5c.txt	REV-START
5906.lswap-f4c2deec7c96.txt	5906.rbnd-0dad091b8ac4.txt	FWD-END
5906.lswap-f4c2deec7c96.txt	5906.rbnd-0dad091b8ac4.txt	FWD-START
5906.lswap-f4c2deec7c96.txt	5906.rbnd-2641d60c9d5c.txt	FWD-END
5906.lswap-f4c2deec7c96.txt	5906.rbnd-2641d60c9d5c.txt	FWD-START
5906.rbnd-0dad091b8ac4.txt	5906.lswap-9bd2a50baa0e.txt	FWD-END
5906.rbnd-0dad091b8ac4.txt	5906.lswap-9bd2a50baa0e.txt	FWD-START
5906.rbnd-0dad091b8ac4.txt	5906.lswap-f4c2deec7c96.txt	REV-END
5906.rbnd-0dad091b8ac4.txt	5906.lswap-f4c2deec7c96.txt	REV-START
5906.rbnd-2641d60c9d5c.txt	5906.lswap-9bd2a50baa0e.txt	FWD-END
5906.rbnd-2641d60c9d5c.txt	5906.lswap-9bd2a50baa0e.txt	FWD-START
5906.rbnd-2641d60c9d5c.txt	5906.lswap-f4c2deec7c96.txt	REV-END
5906.rbnd-2641d60c9d5c.txt	5906.lswap-f4c2deec7c96.txt	REV-START
5906.rbnd-c44d48fbd52c.txt	5906.up-331228e22360.txt	REV-END
5906.rbnd-c44d48fbd52c.txt	5906.up-331228e22360.txt	REV-START
5906.rbnd-c44d48fbd52c.txt	5906.up-756ff2ed09bd.txt	FWD-END
5906.rbnd-c44d48fbd52c.txt	5906.up-756ff2ed09bd.txt	FWD-START
5906.rbnd-e9623244f6b1.txt	5906.up-8b8c8916a24a.txt	REV-END
5906.rbnd-e9623244f6b1.txt	5906.up-8b8c8916a24a.txt	REV-START
5906.rbnd-e9623244f6b1.txt	5906.up-dab493384582.txt	FWD-END
5906.rbnd-e9623244f6b1.txt	5906.up-dab493384582.txt	FWD-START
5906.up-331228e22360.txt	5906.rbnd-c44d48fbd52c.txt	FWD-END
5906.up-331228e22360.txt	5906.rbnd-c44d48fbd52c.txt	FWD-START
5906.up-756ff2ed09bd.txt	5906.rbnd-c44d48fbd52c.txt	REV-END
5906.up-756ff2ed09bd.txt	5906.rbnd-c44d48fbd52c.txt	REV-START
5906.up-8b8c8916a24a.txt	5906.rbnd-e9623244f6b1.txt	FWD-END
5906.up-8b8c8916a24a.txt	5906.rbnd-e9623244f6b1.txt	FWD-START
5906.up-dab493384582.txt	5906.rbnd-e9623244f6b1.txt	REV-END
5906.up-dab493384582.txt	5906.rbnd-e9623244f6b1.txt	REV-START
