product_sha256	source	orientation	move
0dad091b8ac4de6aa51ac8bfcb845ee6e3384648a8a261b0e919505ce400f0a6	5906.lswap-9bd2a50baa0e.txt	F	REV-START/5123467
0dad091b8ac4de6aa51ac8bfcb845ee6e3384648a8a261b0e919505ce400f0a6	5906.lswap-9bd2a50baa0e.txt	R	REV-END/6432157
0dad091b8ac4de6aa51ac8bfcb845ee6e3384648a8a261b0e919505ce400f0a6	5906.lswap-f4c2deec7c96.txt	F	FWD-END/7314526>4526137
0dad091b8ac4de6aa51ac8bfcb845ee6e3384648a8a261b0e919505ce400f0a6	5906.lswap-f4c2deec7c96.txt	R	FWD-START/7316254>6254137
2641d60c9d5ca87b639026cefa6bea215dfd9f525c150d42b92f08e6df544b38	5906.lswap-9bd2a50baa0e.txt	F	REV-END/3462517
2641d60c9d5ca87b639026cefa6bea215dfd9f525c150d42b92f08e6df544b38	5906.lswap-9bd2a50baa0e.txt	R	REV-START/1526437
2641d60c9d5ca87b639026cefa6bea215dfd9f525c150d42b92f08e6df544b38	5906.lswap-f4c2deec7c96.txt	F	FWD-START/7561234>1234657
2641d60c9d5ca87b639026cefa6bea215dfd9f525c150d42b92f08e6df544b38	5906.lswap-f4c2deec7c96.txt	R	FWD-END/7564321>4321657
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-331228e22360.txt	F	FWD-END/7314526>4526137
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-331228e22360.txt	F	FWD-START/7561234>1234657
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-331228e22360.txt	R	FWD-END/7564321>4321657
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-331228e22360.txt	R	FWD-START/7316254>6254137
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-756ff2ed09bd.txt	F	REV-END/3462517
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-756ff2ed09bd.txt	F	REV-START/5123467
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-756ff2ed09bd.txt	R	REV-END/6432157
c44d48fbd52cc4ed9c3f5cd810b8e6d77136b03e6ad1bb4ede3b2b7f3eb36aaa	5906.up-756ff2ed09bd.txt	R	REV-START/1526437
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-8b8c8916a24a.txt	F	FWD-END/7314526>4526137
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-8b8c8916a24a.txt	F	FWD-START/7561234>1234657
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-8b8c8916a24a.txt	R	FWD-END/7564321>4321657
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-8b8c8916a24a.txt	R	FWD-START/7316254>6254137
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-dab493384582.txt	F	REV-END/3462517
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-dab493384582.txt	F	REV-START/5123467
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-dab493384582.txt	R	REV-END/6432157
e9623244f6b15bf75e613511fd8b045338f3d599c9cd65d1816d2ebc2c1fdef2	5906.up-dab493384582.txt	R	REV-START/1526437
