file	orient	S	D	fFWDEND	fFWDSTART	fREVEND	fREVSTART	sFWDEND	sFWDSTART	sREVEND	sREVSTART
5906.up-02d771908307.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-02d771908307.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-0a065898a821.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-0a065898a821.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-0d2e98183c29.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-0d2e98183c29.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-0db50fc7743c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-0db50fc7743c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-1206598d1ff0.txt	F	840	21	1	1	2	2	0	0	0	0
5906.up-1206598d1ff0.txt	R	840	21	1	1	2	2	0	0	0	0
5906.up-14e2c7b29aae.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-14e2c7b29aae.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-168d62e1a9d1.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-168d62e1a9d1.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-16ca46d2c5a9.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-16ca46d2c5a9.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-1b0920685429.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-1b0920685429.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-1b8244ba04bb.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-1b8244ba04bb.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-1bced7f87a93.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-1bced7f87a93.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-1e6ba5f50479.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-1e6ba5f50479.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-207dc5352d35.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-207dc5352d35.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-23ca8a9bcc81.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-23ca8a9bcc81.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-2cb6c1139592.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-2cb6c1139592.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-331228e22360.txt	F	842	19	1	1	1	1	1	1	0	0
5906.up-331228e22360.txt	R	842	19	1	1	1	1	1	1	0	0
5906.up-331e3f0f91ee.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-331e3f0f91ee.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-377da0a3c300.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-377da0a3c300.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-37ac2db82134.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-37ac2db82134.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-3ba99c5557bb.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-3ba99c5557bb.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-3de4f10d5095.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-3de4f10d5095.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-3ffb4355518f.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-3ffb4355518f.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-454308027985.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-454308027985.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-4c3eef44600b.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-4c3eef44600b.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-53b55626d912.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-53b55626d912.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-55058cab6cba.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-55058cab6cba.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-56126e7237c3.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-56126e7237c3.txt	R	840	21	1	1	1	1	0	0	0	0
5906.up-590fe2cb2c21.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-590fe2cb2c21.txt	R	840	21	1	1	1	1	0	0	0	0
5906.up-5ce87c54ecea.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-5ce87c54ecea.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-63a938be8d73.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-63a938be8d73.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-6572648567f1.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-6572648567f1.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-6597315411ea.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-6597315411ea.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-6773ff05a318.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-6773ff05a318.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-6a142cb8e27d.txt	F	840	21	1	1	2	2	0	0	0	0
5906.up-6a142cb8e27d.txt	R	840	21	1	1	2	2	0	0	0	0
5906.up-6a8f7756517b.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-6a8f7756517b.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-6f42b3603dac.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-6f42b3603dac.txt	R	840	21	1	1	1	1	0	0	0	0
5906.up-72482a71c81e.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-72482a71c81e.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-756ff2ed09bd.txt	F	844	17	1	1	2	2	0	0	1	1
5906.up-756ff2ed09bd.txt	R	844	17	1	1	2	2	0	0	1	1
5906.up-77512ee88848.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-77512ee88848.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-7824c044436e.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-7824c044436e.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-78d638be95ae.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-78d638be95ae.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-7c111e182316.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-7c111e182316.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-7f9a93193f10.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-7f9a93193f10.txt	R	840	21	1	1	1	1	0	0	0	0
5906.up-839c85982253.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-839c85982253.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-890b6674bd25.txt	F	836	25	1	1	2	2	0	0	0	0
5906.up-890b6674bd25.txt	R	836	25	1	1	2	2	0	0	0	0
5906.up-8b8c8916a24a.txt	F	842	19	1	1	1	1	1	1	0	0
5906.up-8b8c8916a24a.txt	R	842	19	1	1	1	1	1	1	0	0
5906.up-8ec03171f5df.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-8ec03171f5df.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-91a0d3cd2c14.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-91a0d3cd2c14.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-956f3f1864b5.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-956f3f1864b5.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-95ffff5c765c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-95ffff5c765c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-9a915a83c416.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-9a915a83c416.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-a001786e5861.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a001786e5861.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-a00b3e52965d.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a00b3e52965d.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-a233fdf94b8d.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-a233fdf94b8d.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-a235b0e09b6c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a235b0e09b6c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-a30c7c517d7b.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-a30c7c517d7b.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-a838f31a7b4f.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a838f31a7b4f.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-abe33e328763.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-abe33e328763.txt	R	844	17	1	1	1	1	0	0	0	0
