rule_id	n	shape_eo_ei_do_di	source_tables	n_pairs	inverse_id	inverse_present	rev_frame_id	rev_present	invrev_id	undirected_object	undirected_mult	reversal_object	reversal_mult	full_object	full_mult
134265d4dd03	6	5,5,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	134265d4dd03	Y	134265d4dd03	Y	134265d4dd03	134265d4dd03	1	134265d4dd03	1	134265d4dd03	1
1bf7a658561d	6	5,5,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=5	4aaf6dbd1d0c	Y	4aaf6dbd1d0c	Y	1bf7a658561d	1bf7a658561d	2	1bf7a658561d	2	1bf7a658561d	2
242ba3af449f	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	fb989547da25	Y	cbb31566c457	N	d2ac451b7ffd	242ba3af449f	2	242ba3af449f	1	242ba3af449f	2
2fa9b43853ba	6	15,15,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=7	69b7c6ec7a8e	Y	69b7c6ec7a8e	Y	2fa9b43853ba	2fa9b43853ba	2	2fa9b43853ba	2	2fa9b43853ba	2
2fdfcbc25991	6	10,10,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	2fdfcbc25991	Y	a337814a85d7	N	a337814a85d7	2fdfcbc25991	1	2fdfcbc25991	1	2fdfcbc25991	1
31c3e6b1c405	6	25,25,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=12	af5ed6a8b845	Y	af5ed6a8b845	Y	31c3e6b1c405	31c3e6b1c405	2	31c3e6b1c405	2	31c3e6b1c405	2
3a8553ef777a	6	20,20,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	3c6805916555	Y	da2826ceb0ba	N	76fea2aaf25d	3a8553ef777a	2	3a8553ef777a	1	3a8553ef777a	2
3a89b75685b3	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=4	3a89b75685b3	Y	3a89b75685b3	Y	3a89b75685b3	3a89b75685b3	1	3a89b75685b3	1	3a89b75685b3	1
3c6805916555	6	20,20,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	3a8553ef777a	Y	76fea2aaf25d	N	da2826ceb0ba	3a8553ef777a	2	3c6805916555	1	3a8553ef777a	2
3cab669ad975	6	25,25,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=6	3cab669ad975	Y	83186b026b1d	N	83186b026b1d	3cab669ad975	1	3cab669ad975	1	3cab669ad975	1
47c49d109d2f	6	5,5,0,0	rules_n6.tsv,rules_n6_a360.tsv	rules_n6.tsv=6,rules_n6_a360.tsv=24	47c49d109d2f	Y	47c49d109d2f	Y	47c49d109d2f	47c49d109d2f	1	47c49d109d2f	1	47c49d109d2f	1
4aaf6dbd1d0c	6	5,5,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=5	1bf7a658561d	Y	1bf7a658561d	Y	4aaf6dbd1d0c	1bf7a658561d	2	1bf7a658561d	2	1bf7a658561d	2
4e684bde0a71	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	69d098a06757	Y	6dabf409e2ac	N	2d79e628e0c1	4e684bde0a71	2	4e684bde0a71	1	4e684bde0a71	2
66d1e68ce7af	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=1	9e632e18942c	Y	7a6497992b86	N	4d1a8feb7bc1	66d1e68ce7af	2	66d1e68ce7af	1	66d1e68ce7af	2
69b7c6ec7a8e	6	15,15,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=7	2fa9b43853ba	Y	2fa9b43853ba	Y	69b7c6ec7a8e	2fa9b43853ba	2	2fa9b43853ba	2	2fa9b43853ba	2
69d098a06757	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	4e684bde0a71	Y	2d79e628e0c1	N	6dabf409e2ac	4e684bde0a71	2	69d098a06757	1	4e684bde0a71	2
7336473ea32f	6	20,20,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=36	7336473ea32f	Y	d89de86297ee	Y	d89de86297ee	7336473ea32f	1	7336473ea32f	2	7336473ea32f	2
7439442d96f5	6	5,5,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=14	7439442d96f5	Y	7439442d96f5	Y	7439442d96f5	7439442d96f5	1	7439442d96f5	1	7439442d96f5	1
7637a33c7cc7	6	10,10,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	7637a33c7cc7	Y	f835e8df947c	N	f835e8df947c	7637a33c7cc7	1	7637a33c7cc7	1	7637a33c7cc7	1
777bc2db3e2a	6	25,25,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	e8e45b0b65d9	Y	c2264ffe8e6f	N	e3b283ee1b92	777bc2db3e2a	2	777bc2db3e2a	1	777bc2db3e2a	2
7a94c5053e55	6	20,20,0,0	rules_n6.tsv,rules_n6_a360.tsv	rules_n6.tsv=2,rules_n6_a360.tsv=18	7a94c5053e55	Y	7a94c5053e55	Y	7a94c5053e55	7a94c5053e55	1	7a94c5053e55	1	7a94c5053e55	1
7d4a27ad51fc	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	892e6572e053	Y	892e6572e053	Y	7d4a27ad51fc	7d4a27ad51fc	2	7d4a27ad51fc	2	7d4a27ad51fc	2
86c68ed0240c	6	10,10,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=6	86c68ed0240c	Y	86c68ed0240c	Y	86c68ed0240c	86c68ed0240c	1	86c68ed0240c	1	86c68ed0240c	1
892e6572e053	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	7d4a27ad51fc	Y	7d4a27ad51fc	Y	892e6572e053	7d4a27ad51fc	2	7d4a27ad51fc	2	7d4a27ad51fc	2
9a9c0f8835c0	6	15,15,0,0	rules_n6.tsv,rules_n6_a360.tsv	rules_n6.tsv=208,rules_n6_a360.tsv=2230	9a9c0f8835c0	Y	9a9c0f8835c0	Y	9a9c0f8835c0	9a9c0f8835c0	1	9a9c0f8835c0	1	9a9c0f8835c0	1
9e632e18942c	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=1	66d1e68ce7af	Y	4d1a8feb7bc1	N	7a6497992b86	66d1e68ce7af	2	9e632e18942c	1	66d1e68ce7af	2
af5ed6a8b845	6	25,25,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=12	31c3e6b1c405	Y	31c3e6b1c405	Y	af5ed6a8b845	31c3e6b1c405	2	31c3e6b1c405	2	31c3e6b1c405	2
d170c706b063	6	20,20,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	d170c706b063	Y	d170c706b063	Y	d170c706b063	d170c706b063	1	d170c706b063	1	d170c706b063	1
d89de86297ee	6	20,20,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=32	d89de86297ee	Y	7336473ea32f	Y	7336473ea32f	d89de86297ee	1	7336473ea32f	2	7336473ea32f	2
e8e45b0b65d9	6	25,25,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	777bc2db3e2a	Y	e3b283ee1b92	N	c2264ffe8e6f	777bc2db3e2a	2	e8e45b0b65d9	1	777bc2db3e2a	2
f8ff9890385e	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=4	f8ff9890385e	Y	f8ff9890385e	Y	f8ff9890385e	f8ff9890385e	1	f8ff9890385e	1	f8ff9890385e	1
fb989547da25	6	30,30,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=3	242ba3af449f	Y	d2ac451b7ffd	N	cbb31566c457	242ba3af449f	2	fb989547da25	1	242ba3af449f	2
fe352d21e631	6	15,15,0,0	rules_n6_a360.tsv	rules_n6_a360.tsv=2	fe352d21e631	Y	fe352d21e631	Y	fe352d21e631	fe352d21e631	1	fe352d21e631	1	fe352d21e631	1
