rule_id	n	shape_eo_ei_do_di	source_tables	n_pairs	inverse_id	inverse_present	rev_frame_id	rev_present	invrev_id	undirected_object	undirected_mult	reversal_object	reversal_mult	full_object	full_mult	census_undirected_edges	edgeset_group	census_undirected_edges	edgeset_group
0058ac858d36	7	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	1be958ce8f4e	Y	49eb8498235d	Y	92dd26e01875	0058ac858d36	2	0058ac858d36	2	0058ac858d36	4	8	E0000	8	E0000
00a156b3c4d8	7	49,48,1,2	rules_n7.tsv,rules_n7_a256.tsv	rules_n7.tsv=1,rules_n7_a256.tsv=1	cbba85d1efba	Y	06555b8e9d68	N	3ff3290d42c6	00a156b3c4d8	2	00a156b3c4d8	1	00a156b3c4d8	2	1	E0001	1	E0001
00feabfe3da8	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	098ff226f2b8	Y	c59c5cc23415	Y	afd8434437e6	00feabfe3da8	2	00feabfe3da8	2	00feabfe3da8	4	4	E0002	4	E0002
01ebc19824fc	7	174,174,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	bfd1c873c831	Y	0fc7d5df4a4f	N	224e482f5c59	01ebc19824fc	2	01ebc19824fc	1	01ebc19824fc	2	8	E0003	8	E0003
0203e75132fa	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	718c06223017	Y	0f51b2a6462a	N	1654681308dc	0203e75132fa	2	0203e75132fa	1	0203e75132fa	2	4	E0004	4	E0004
02397927f53b	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	74d503e42116	Y	725677205daf	Y	fb50a523fce2	02397927f53b	2	02397927f53b	2	02397927f53b	4	8	E0005	8	E0005
02eb9e2292e4	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	a8af7d1d0d1f	Y	4c38520b5849	N	a4bd7d863c5b	02eb9e2292e4	2	02eb9e2292e4	1	02eb9e2292e4	2	16	E0006	16	E0006
032dbf0d777a	7	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=7	d1acfe46465f	Y	0842711f47f7	N	8255afc85735	032dbf0d777a	2	032dbf0d777a	1	032dbf0d777a	2	8	E0007	8	E0007
033afc57097e	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	a5214c898b1c	Y	b4f13531d2e2	Y	f3530a9a4032	033afc57097e	2	033afc57097e	2	033afc57097e	4	8	E0008	8	E0008
033c72053344	7	96,96,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	3289b1f63a42	Y	16086fbbe2d0	N	f78ad6a6c42e	033c72053344	2	033c72053344	1	033c72053344	2	1	E0009	1	E0009
038dbff96d7c	7	210,210,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	2a574f2daa75	Y	3225a617f115	N	69a9db06e6a2	038dbff96d7c	2	038dbff96d7c	1	038dbff96d7c	2	2	E0010	2	E0010
03e7dfb21adb	7	72,72,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	eb92f835e1a8	Y	a8b42706a97e	N	8a1d5cab0186	03e7dfb21adb	2	03e7dfb21adb	1	03e7dfb21adb	2	2	E0011	2	E0011
04494fa53cff	7	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	13a2ca857332	Y	d1167a2951a8	N	b52066d6401f	04494fa53cff	2	04494fa53cff	1	04494fa53cff	2	4	E0012	4	E0012
045ff6b79066	7	192,192,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	c9d65fee4f73	Y	b41291dfb487	N	8a68e483f859	045ff6b79066	2	045ff6b79066	1	045ff6b79066	2	8	E0013	8	E0013
0485c22c758e	7	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=4	84a31d178833	Y	6e90bee81f01	N	cb803cb36edd	0485c22c758e	2	0485c22c758e	1	0485c22c758e	2	8	E0014	8	E0014
05ae19017d4c	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	d16acee52433	Y	3b4fcdbf4387	Y	5466fc6ea07e	05ae19017d4c	2	05ae19017d4c	2	05ae19017d4c	4	2	E0015	2	E0015
05d1006a63d6	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	ea32ce94656c	Y	aeff70f41be6	Y	94ad22a39ddf	05d1006a63d6	2	05d1006a63d6	2	05d1006a63d6	4	2	E0016	2	E0016
05db12227184	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	a98e907ebc54	Y	2cd2cc12e153	Y	94fd6c73a0d1	05db12227184	2	05db12227184	2	05db12227184	4	2	E0017	2	E0017
05dea696c534	7	396,402,9,3	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	94dd11545b8b	Y	1a0aa8fc59da	N	4fb52551f08e	05dea696c534	2	05dea696c534	1	05dea696c534	2	1	E0018	1	E0018
06076a4833ea	7	162,162,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	07d6e2e26dfe	Y	b125a1e98c90	N	f60ee8b246f2	06076a4833ea	2	06076a4833ea	1	06076a4833ea	2	2	E0019	2	E0019
0639dfc60058	7	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	f0b55e37fe22	Y	f12ed6f83d92	N	06cdae9055d7	0639dfc60058	2	0639dfc60058	1	0639dfc60058	2	8	E0020	8	E0020
06cbb44e483f	7	72,72,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4adf6b64f36e	Y	af67a509445d	N	99ca576f76a7	06cbb44e483f	2	06cbb44e483f	1	06cbb44e483f	2	2	E0021	2	E0021
07d6e2e26dfe	7	162,162,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	06076a4833ea	Y	f60ee8b246f2	N	b125a1e98c90	06076a4833ea	2	07d6e2e26dfe	1	06076a4833ea	2	2	E0019	2	E0019
