rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
9a9c0f8835c0	6	123654,126354,162354,235164,236514,263514,351264,351624,365124,512364,512634,516234,623514,635124,651234	123456,124356,142356,234516,235146,243516,345126,351246,351426,423516,435126,451236,512346,512436,514236			2230	-,23298e5f83f2,3d5058eca44f,750b982b1093,9839ed7b6c83,a878e22aaee9,aafe48b4401a,bacdfecd703d,bde3b0b76807,be6e2bd5e26f,c8b26fe73a29,d8e30b9c7721,f29f34f4d9d2	872.up-7ad1d8247eca.txt~872.up-f7bd304a1cf5.txt
7336473ea32f	6	123456,124356,132654,142356,234516,235146,243516,265134,326514,345126,351246,351426,423516,435126,451236,512346,512436,513264,514236,651324	124653,126453,142653,162354,235164,246513,264513,265143,351624,426513,451263,465123,512463,512643,514263,516234,623514,645123,651243,651423			36	-	872.up-6dbd3e13c4d3.txt~872.up-74990d8b7b1a.txt
d89de86297ee	6	123456,143652,146352,164352,234516,345126,351462,351642,365142,435162,436512,451236,463512,512346,514362,514632,516432,635142,643512,651432	123654,126354,143256,162354,235164,236514,251436,263514,325146,351264,351624,365124,432516,512364,512634,514326,516234,623514,635124,651234			32	-	872.up-6206ae0e04d7.txt~872.up-f8cfe9a3f797.txt
47c49d109d2f	6	134652,346512,465132,513462,651342	123456,234516,345126,451236,512346			24	-,cfdc6d7d72a6	872.up-190eaef4d50e.txt~872.up-40fcdf4daaa6.txt
7a94c5053e55	6	123456,123546,125346,152346,234156,234516,235416,253416,341256,341526,345126,354126,412356,412536,415236,451236,512346,523416,534126,541236	123465,123645,126345,162345,234165,234615,236415,263415,341265,341625,346125,364125,412365,412635,416235,461235,612345,623415,634125,641235			18	-,8225283f16bc	872.up-56ddcb96caa9.txt~872.up-8c2c3f50257e.txt
7439442d96f5	6	126453,264513,451263,512643,645123	123456,234516,345126,451236,512346			14	-	872.up-880faa3dcf4a.txt~872.up-a48d7e5d2f33.txt
af5ed6a8b845	6	126354,134652,136452,143652,162354,235164,263514,346512,351264,351624,364512,365142,436512,451362,465132,512634,513462,513642,514362,516234,623514,635124,645132,651342,651432	123456,124356,132654,136254,142356,234516,235146,243516,251364,265134,326514,345126,351246,351426,362514,423516,435126,451236,512346,512436,513264,513624,514236,625134,651324			12	-	872.up-a0e49452d7d4.txt~872.up-c2175a430c02.txt
31c3e6b1c405	6	123456,124356,132654,136254,142356,234516,235146,243516,251364,265134,326514,345126,351246,351426,362514,423516,435126,451236,512346,512436,513264,513624,514236,625134,651324	126354,134652,136452,143652,162354,235164,263514,346512,351264,351624,364512,365142,436512,451362,465132,512634,513462,513642,514362,516234,623514,635124,645132,651342,651432			12	-	872.up-a0e49452d7d4.txt~872.up-c2175a430c02.txt
2fa9b43853ba	6	123456,134526,145236,213456,231456,234516,314526,345126,345216,451236,452136,452316,512346,521346,523146	234651,236451,263451,345261,346521,364521,452361,452631,465231,523461,523641,526341,634521,645231,652341			7	-	872.up-69ab6ea1bbee.txt~872.up-740f7ad025ab.txt
69b7c6ec7a8e	6	234651,236451,263451,345261,346521,364521,452361,452631,465231,523461,523641,526341,634521,645231,652341	123456,134526,145236,213456,231456,234516,314526,345126,345216,451236,452136,452316,512346,521346,523146			7	-	872.up-69ab6ea1bbee.txt~872.up-740f7ad025ab.txt
3cab669ad975	6	123456,145236,152346,231456,234156,234516,245631,256341,314526,324561,341526,342561,345126,415236,425631,451236,452316,456321,512346,523146,523416,563241,563421,632451,634251	145632,156342,163452,234651,236451,314562,341562,345162,346521,364521,415632,451632,452361,456312,465231,516342,523461,523641,563142,563412,631452,634152,634512,645231,652341			6	-	872.up-4f0610e45e69.txt~872.up-b7c52f46cc65.txt
