rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
2c806c1bf6e3	7	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147			10	085a8c9480ab,6b987d477796,f728a0379f47	5906.up-e948752d6a32.txt~5906.up-eebb02e3baec.txt
7c2769543fc5	7	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143			10	085a8c9480ab,6b987d477796,f728a0379f47	5906.up-e948752d6a32.txt~5906.up-eebb02e3baec.txt
8a34ad08d7c8	7	1234765,1237465,1273465,1426375,1462375,1463275,1463725,1723465,2146375,2346175,2347615,2371465,2374615,2637145,2714635,2734615,3271465,3461275,3461725,3476125,3714265,3714625,3721465,3746125,4263715,4612375,4612735,4617235,4623715,4632715,4637215,4761235,6123475,6123745,6127345,6172345,6237145,6327145,6371425,6372145,7142635,7146235,7146325,7214635,7234615,7346125,7461235,7612345	1234567,1235467,1253467,1456372,1463572,1463752,1465372,1523467,2345617,2346157,2354617,2534617,3456127,3461257,3461527,3546127,3571462,3714562,3714652,3751462,4561237,4563712,4612357,4612537,4615237,4635712,4637512,4653712,5146372,5234617,5346127,5371462,5461237,5612347,5637142,5714632,6123457,6123547,6125347,6152347,6357142,6371452,6375142,6537142,7145632,7146352,7146532,7514632			5	29d87a06d747,8101d56940c4,f7611e935104	5906.up-c3afee7ed153.txt~5906.up-c63a66adbc60.txt
eb70d1e95c8b	7	1234567,1235467,1253467,1456372,1463572,1463752,1465372,1523467,2345617,2346157,2354617,2534617,3456127,3461257,3461527,3546127,3571462,3714562,3714652,3751462,4561237,4563712,4612357,4612537,4615237,4635712,4637512,4653712,5146372,5234617,5346127,5371462,5461237,5612347,5637142,5714632,6123457,6123547,6125347,6152347,6357142,6371452,6375142,6537142,7145632,7146352,7146532,7514632	1234765,1237465,1273465,1426375,1462375,1463275,1463725,1723465,2146375,2346175,2347615,2371465,2374615,2637145,2714635,2734615,3271465,3461275,3461725,3476125,3714265,3714625,3721465,3746125,4263715,4612375,4612735,4617235,4623715,4632715,4637215,4761235,6123475,6123745,6127345,6172345,6237145,6327145,6371425,6372145,7142635,7146235,7146325,7214635,7234615,7346125,7461235,7612345			5	29d87a06d747,8101d56940c4,f7611e935104	5906.up-c3afee7ed153.txt~5906.up-c63a66adbc60.txt
f58a0fb1697c	7	1234567,1235467,1243567,1423567,1623574,1623754,1627354,1672354,2345617,2351674,2354617,2356147,2357164,2375164,2435617,2735164,3456127,3516274,3516724,3546127,3561247,3561427,3571624,3751624,4235617,4356127,4561237,4612357,5162374,5162734,5167234,5461237,5612347,5612437,5614237,5716234,6123457,6123547,6124357,6142357,6235714,6237514,6273514,6723514,7162354,7235164,7351624,7516234	1235764,1237564,1273564,1623457,1623547,1624357,1642357,1723564,2345167,2351647,2354167,2356174,2357614,2375614,2435167,2735614,3451627,3516247,3516427,3541627,3561274,3561724,3576124,3756124,4162357,4235167,4351627,4516237,5162347,5162437,5164237,5416237,5612374,5612734,5617234,5761234,6123574,6123754,6127354,6172354,6234517,6235417,6243517,6423517,7235614,7356124,7561234,7612354			4	809a00b93e2e,b0a57898e37e	5906.up-78d638be95ae.txt~5906.up-e65e244c83d3.txt
6714c4a96bb4	7	1235467,1245763,1247563,1253467,1254367,1254637,1274563,1724563,2354617,2456173,2457613,2475613,2534617,2543617,2546317,2745613,3125467,3461257,3546127,3612547,4361257,4561273,4561723,4576123,4612357,4612537,4631257,4756123,5346127,5436127,5461237,5463127,5612473,5612743,5617243,5761243,6123547,6124573,6124753,6125347,6125437,6127453,6172453,6312547,7245613,7456123,7561243,7612453	1234567,1243567,1245367,1245637,1254763,1257463,1275463,1725463,2345617,2435617,2453617,2456317,2546173,2547613,2574613,2754613,3124567,3456127,3561247,3612457,4356127,4536127,4561237,4563127,4612573,4612753,4617253,4761253,5361247,5461273,5461723,5476123,5612347,5612437,5631247,5746123,6123457,6124357,6124537,6125473,6125743,6127543,6172543,6312457,7254613,7461253,7546123,7612543			4	e42578b72118	5906.up-890b6674bd25.txt~5906.up-d0b9281ca469.txt
862a0b139699	7	1235764,1237564,1273564,1374652,1536724,1563724,1567234,1567324,1654372,1654732,1675432,1723564,1734652,1746352,1746532,1765432,2153674,2156374,2156734,2315674,2356174,2357614,2375614,2735614,3156724,3165472,3167542,3174652,3176542,3215674,3465172,3517462,3561274,3561724,3576124,3672154,3716542,3721564,3746512,3756124,4316752,4317652,4371652,4635172,4651372,4651732,4653172,4731652,5137462,5173462,5174632,5317462,5367214,5431672,5431762,5437162,5473162,5612374,5612734,5617234,5637214,5672314,5673214,5761234,6123574,6123754,6127354,6172354,6351742,6372154,6513742,6517342,6531742,6543172,6543712,6547312,6721534,6723154,6732154,6754312,7165432,7215364,7215634,7231564,7235614,7316542,7321564,7346512,7356124,7463512,7465132,7465312,7543162,7561234,7612354,7654312	1234567,1235467,1243567,1265437,1274653,1423567,1546723,1564723,1567243,1567423,1625437,1654237,1654327,1724653,1746253,1746523,2154673,2156473,2156743,2165437,2174653,2316547,2345617,2354617,2356147,2415673,2435617,2465173,2517463,2543167,2654317,2746513,3126547,3162547,3165427,3216547,3456127,3546127,3561247,3561427,4156723,4215673,4231657,4235617,4312657,4316257,4321657,4356127,4561237,4612357,4625173,4651273,4651723,4652173,4672153,4721563,5127463,5172463,5174623,5217463,5423167,5431267,5431627,5432167,5461237,5467213,5612347,5612437,5614237,5647213,5672413,5674213,6123457,6123547,6124357,6142357,6251743,6254317,6472153,6512743,6517243,6521743,6542317,6543127,6543217,6721543,6724153,6742153,7215463,7215643,7241563,7246513,7421563,7462513,7465123,7465213			2	2ccaf8efa20c,e95cd2ea9a1a	5906.up-6597315411ea.txt~5906.up-c63a66adbc60.txt
9dcb6b39580e	7	1234567,1235467,1243567,1265437,1274653,1423567,1546723,1564723,1567243,1567423,1625437,1654237,1654327,1724653,1746253,1746523,2154673,2156473,2156743,2165437,2174653,2316547,2345617,2354617,2356147,2415673,2435617,2465173,2517463,2543167,2654317,2746513,3126547,3162547,3165427,3216547,3456127,3546127,3561247,3561427,4156723,4215673,4231657,4235617,4312657,4316257,4321657,4356127,4561237,4612357,4625173,4651273,4651723,4652173,4672153,4721563,5127463,5172463,5174623,5217463,5423167,5431267,5431627,5432167,5461237,5467213,5612347,5612437,5614237,5647213,5672413,5674213,6123457,6123547,6124357,6142357,6251743,6254317,6472153,6512743,6517243,6521743,6542317,6543127,6543217,6721543,6724153,6742153,7215463,7215643,7241563,7246513,7421563,7462513,7465123,7465213	1235764,1237564,1273564,1374652,1536724,1563724,1567234,1567324,1654372,1654732,1675432,1723564,1734652,1746352,1746532,1765432,2153674,2156374,2156734,2315674,2356174,2357614,2375614,2735614,3156724,3165472,3167542,3174652,3176542,3215674,3465172,3517462,3561274,3561724,3576124,3672154,3716542,3721564,3746512,3756124,4316752,4317652,4371652,4635172,4651372,4651732,4653172,4731652,5137462,5173462,5174632,5317462,5367214,5431672,5431762,5437162,5473162,5612374,5612734,5617234,5637214,5672314,5673214,5761234,6123574,6123754,6127354,6172354,6351742,6372154,6513742,6517342,6531742,6543172,6543712,6547312,6721534,6723154,6732154,6754312,7165432,7215364,7215634,7231564,7235614,7316542,7321564,7346512,7356124,7463512,7465132,7465312,7543162,7561234,7612354,7654312			2	2ccaf8efa20c,e95cd2ea9a1a	5906.up-6597315411ea.txt~5906.up-c63a66adbc60.txt
afb4c322ff24	7	1234567,1235467,1243567,1374652,1423567,1546723,1564723,1567243,1567423,1654372,1654732,1675432,1734652,1746352,1746532,1765432,2154673,2156473,2156743,2345617,2354617,2356147,2415673,2435617,3165472,3167542,3174652,3176542,3456127,3465172,3517462,3546127,3561247,3561427,3716542,3746512,4156723,4215673,4235617,4316752,4317652,4356127,4371652,4561237,4612357,4635172,4651372,4651732,4653172,4672153,4721563,4731652,5137462,5173462,5174632,5317462,5431672,5431762,5437162,5461237,5467213,5473162,5612347,5612437,5614237,5647213,5672413,5674213,6123457,6123547,6124357,6142357,6351742,6472153,6513742,6517342,6531742,6543172,6543712,6547312,6721543,6724153,6742153,6754312,7165432,7215463,7215643,7241563,7316542,7346512,7421563,7463512,7465132,7465312,7543162,7654312	1235764,1237564,1265437,1273564,1274653,1536724,1563724,1567234,1567324,1625437,1654237,1654327,1723564,1724653,1746253,1746523,2153674,2156374,2156734,2165437,2174653,2315674,2316547,2356174,2357614,2375614,2465173,2517463,2543167,2654317,2735614,2746513,3126547,3156724,3162547,3165427,3215674,3216547,3561274,3561724,3576124,3672154,3721564,3756124,4231657,4312657,4316257,4321657,4625173,4651273,4651723,4652173,5127463,5172463,5174623,5217463,5367214,5423167,5431267,5431627,5432167,5612374,5612734,5617234,5637214,5672314,5673214,5761234,6123574,6123754,6127354,6172354,6251743,6254317,6372154,6512743,6517243,6521743,6542317,6543127,6543217,6721534,6723154,6732154,7215364,7215634,7231564,7235614,7246513,7321564,7356124,7462513,7465123,7465213,7561234,7612354			2	4e176f928187,5abbbceb1a7a	5906.up-c3afee7ed153.txt~5906.up-d1489855deef.txt
dc0416c80bc5	7	1235764,1237564,1265437,1273564,1274653,1536724,1563724,1567234,1567324,1625437,1654237,1654327,1723564,1724653,1746253,1746523,2153674,2156374,2156734,2165437,2174653,2315674,2316547,2356174,2357614,2375614,2465173,2517463,2543167,2654317,2735614,2746513,3126547,3156724,3162547,3165427,3215674,3216547,3561274,3561724,3576124,3672154,3721564,3756124,4231657,4312657,4316257,4321657,4625173,4651273,4651723,4652173,5127463,5172463,5174623,5217463,5367214,5423167,5431267,5431627,5432167,5612374,5612734,5617234,5637214,5672314,5673214,5761234,6123574,6123754,6127354,6172354,6251743,6254317,6372154,6512743,6517243,6521743,6542317,6543127,6543217,6721534,6723154,6732154,7215364,7215634,7231564,7235614,7246513,7321564,7356124,7462513,7465123,7465213,7561234,7612354	1234567,1235467,1243567,1374652,1423567,1546723,1564723,1567243,1567423,1654372,1654732,1675432,1734652,1746352,1746532,1765432,2154673,2156473,2156743,2345617,2354617,2356147,2415673,2435617,3165472,3167542,3174652,3176542,3456127,3465172,3517462,3546127,3561247,3561427,3716542,3746512,4156723,4215673,4235617,4316752,4317652,4356127,4371652,4561237,4612357,4635172,4651372,4651732,4653172,4672153,4721563,4731652,5137462,5173462,5174632,5317462,5431672,5431762,5437162,5461237,5467213,5473162,5612347,5612437,5614237,5647213,5672413,5674213,6123457,6123547,6124357,6142357,6351742,6472153,6513742,6517342,6531742,6543172,6543712,6547312,6721543,6724153,6742153,6754312,7165432,7215463,7215643,7241563,7316542,7346512,7421563,7463512,7465132,7465312,7543162,7654312			2	4e176f928187,5abbbceb1a7a	5906.up-c3afee7ed153.txt~5906.up-d1489855deef.txt
