rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
48c30fab9556	7	1234567,1245637,2345617,2456317,3124567,3456127,4561237,4563127,5612347,5631247,6123457,6312457	1472653,1762543,2541763,2651473,4176253,4726513,5147263,5417623,6254173,6514723,7265143,7625413			7	-	5906.up-23ca8a9bcc81.txt~5906.up-eebb02e3baec.txt
803ec382c593	7	1472653,1762543,2541763,2651473,4176253,4726513,5147263,5417623,6254173,6514723,7265143,7625413	1234567,1245637,2345617,2456317,3124567,3456127,4561237,4563127,5612347,5631247,6123457,6312457			7	-	5906.up-23ca8a9bcc81.txt~5906.up-eebb02e3baec.txt
fd3d2036ee73	7	1472653,1574632,1745632,1746532,1754632,1762543,2541763,2651473,3157462,3174562,3174652,3175462,4176253,4563172,4631572,4631752,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5746312,6254173,6315742,6317452,6317542,6514723,6531742,7265143,7456312,7463152,7465312,7546312,7625413	1234567,1245637,1274635,1724635,1742635,1746235,2317465,2345617,2456317,2463175,2631745,2746315,3124567,3127465,3172465,3174265,3174625,3456127,4263175,4561237,4563127,4623175,4631275,4631725,5612347,5631247,6123457,6231745,6312457,6312745,6317245,6317425,7246315,7426315,7462315,7463125			5	-	5906.lswap-17203113788c.txt~5906.lswap-423441640591.txt
9ffeb4ce9bae	7	1234567,1245637,1274635,1724635,1742635,1746235,2317465,2345617,2456317,2463175,2631745,2746315,3124567,3127465,3172465,3174265,3174625,3456127,4263175,4561237,4563127,4623175,4631275,4631725,5612347,5631247,6123457,6231745,6312457,6312745,6317245,6317425,7246315,7426315,7462315,7463125	1472653,1574632,1745632,1746532,1754632,1762543,2541763,2651473,3157462,3174562,3174652,3175462,4176253,4563172,4631572,4631752,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5746312,6254173,6315742,6317452,6317542,6514723,6531742,7265143,7456312,7463152,7465312,7546312,7625413			5	-	5906.lswap-17203113788c.txt~5906.lswap-423441640591.txt
55ebb8b168a5	7	1243576,1423576,1432576,1435276,1472653,1574632,1745632,1746532,1754632,1762543,2357146,2435716,2541763,2571436,2651473,2714356,3157462,3174562,3174652,3175462,3257146,3527146,3571246,3571426,4176253,4235716,4325716,4352716,4357126,4563172,4631572,4631752,4653172,4726513,5147263,5271436,5317462,5417623,5463172,5631742,5712436,5714236,5714326,5746312,6254173,6315742,6317452,6317542,6514723,6531742,7124356,7142356,7143256,7143526,7265143,7456312,7463152,7465312,7546312,7625413	1234567,1245637,1274635,1435672,1436572,1463572,1643572,1724635,1742635,1746235,2317465,2345617,2456317,2463175,2631745,2746315,3124567,3127465,3172465,3174265,3174625,3456127,3567142,3571462,3571642,3657142,4263175,4356712,4357162,4365712,4561237,4563127,4623175,4631275,4631725,4635712,5612347,5631247,5671432,5714362,5714632,5716432,6123457,6231745,6312457,6312745,6317245,6317425,6357142,6435712,6571432,6714352,7143562,7143652,7146352,7164352,7246315,7426315,7462315,7463125			4	-	5906.lswap-17203113788c.txt~5906.lswap-821102adfff8.txt
ab11977fcf47	7	1234567,1245637,1274635,1435672,1436572,1463572,1643572,1724635,1742635,1746235,2317465,2345617,2456317,2463175,2631745,2746315,3124567,3127465,3172465,3174265,3174625,3456127,3567142,3571462,3571642,3657142,4263175,4356712,4357162,4365712,4561237,4563127,4623175,4631275,4631725,4635712,5612347,5631247,5671432,5714362,5714632,5716432,6123457,6231745,6312457,6312745,6317245,6317425,6357142,6435712,6571432,6714352,7143562,7143652,7146352,7164352,7246315,7426315,7462315,7463125	1243576,1423576,1432576,1435276,1472653,1574632,1745632,1746532,1754632,1762543,2357146,2435716,2541763,2571436,2651473,2714356,3157462,3174562,3174652,3175462,3257146,3527146,3571246,3571426,4176253,4235716,4325716,4352716,4357126,4563172,4631572,4631752,4653172,4726513,5147263,5271436,5317462,5417623,5463172,5631742,5712436,5714236,5714326,5746312,6254173,6315742,6317452,6317542,6514723,6531742,7124356,7142356,7143256,7143526,7265143,7456312,7463152,7465312,7546312,7625413			4	-	5906.lswap-17203113788c.txt~5906.lswap-821102adfff8.txt
e3da64e6da9b	7	1357462,1374562,1374652,1472653,1537462,1762543,2541763,2651473,3574612,3745612,3746152,3746512,4176253,4561372,4613572,4615372,4651372,4726513,5137462,5147263,5374612,5417623,5613742,5746132,6135742,6137452,6153742,6254173,6513742,6514723,7265143,7456132,7461352,7461532,7465132,7625413	1234567,1237465,1245637,1327465,1374265,1374625,2137465,2345617,2374615,2456317,2613745,2746135,3124567,3274615,3456127,3742615,3746125,3746215,4261375,4561237,4563127,4612375,4613275,4621375,5612347,5631247,6123457,6123745,6132745,6137425,6213745,6312457,7426135,7461235,7461325,7462135			3	-	5906.lswap-469763027c57.txt~5906.up-23ca8a9bcc81.txt
3f4b1bcb6fa8	7	1234567,1237465,1245637,1327465,1374265,1374625,2137465,2345617,2374615,2456317,2613745,2746135,3124567,3274615,3456127,3742615,3746125,3746215,4261375,4561237,4563127,4612375,4613275,4621375,5612347,5631247,6123457,6123745,6132745,6137425,6213745,6312457,7426135,7461235,7461325,7462135	1357462,1374562,1374652,1472653,1537462,1762543,2541763,2651473,3574612,3745612,3746152,3746512,4176253,4561372,4613572,4615372,4651372,4726513,5137462,5147263,5374612,5417623,5613742,5746132,6135742,6137452,6153742,6254173,6513742,6514723,7265143,7456132,7461352,7461532,7465132,7625413			3	-	5906.lswap-469763027c57.txt~5906.up-23ca8a9bcc81.txt
5d3074fe7163	7	1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2541763,2651473,3157462,3174562,3174652,3175462,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4563172,4631572,4631752,4635712,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5671432,5714362,5714632,5716432,5746312,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,7143562,7143652,7146352,7164352,7265143,7456312,7463152,7465312,7546312,7625413	1234567,1243576,1245637,1274635,1423576,1432576,1435276,1724635,1742635,1746235,2317465,2345617,2357146,2435716,2456317,2463175,2571436,2631745,2714356,2746315,3124567,3127465,3172465,3174265,3174625,3257146,3456127,3527146,3571246,3571426,4235716,4263175,4325716,4352716,4357126,4561237,4563127,4623175,4631275,4631725,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6231745,6312457,6312745,6317245,6317425,7124356,7142356,7143256,7143526,7246315,7426315,7462315,7463125			3	-	5906.lswap-e0920da719d9.txt~5906.up-23ca8a9bcc81.txt
430f8ba0d5bf	7	1234567,1243576,1245637,1274635,1423576,1432576,1435276,1724635,1742635,1746235,2317465,2345617,2357146,2435716,2456317,2463175,2571436,2631745,2714356,2746315,3124567,3127465,3172465,3174265,3174625,3257146,3456127,3527146,3571246,3571426,4235716,4263175,4325716,4352716,4357126,4561237,4563127,4623175,4631275,4631725,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6231745,6312457,6312745,6317245,6317425,7124356,7142356,7143256,7143526,7246315,7426315,7462315,7463125	1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2541763,2651473,3157462,3174562,3174652,3175462,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4563172,4631572,4631752,4635712,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5671432,5714362,5714632,5716432,5746312,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,7143562,7143652,7146352,7164352,7265143,7456312,7463152,7465312,7546312,7625413			3	-	5906.lswap-e0920da719d9.txt~5906.up-23ca8a9bcc81.txt
67eacd157bbc	7	1246735,1324675,1467325,1472653,1673245,1762543,2146735,2416735,2467135,2467315,2541763,2651473,3124675,3214675,3241675,3246715,4167325,4176253,4671325,4673125,4673215,4726513,5147263,5417623,6254173,6514723,6713245,6731245,6732145,6732415,7132465,7265143,7312465,7321465,7324165,7625413	1234567,1245637,2345617,2456317,2456731,2467351,2467531,2546731,3124567,3245671,3246751,3254671,3456127,3524671,4561237,4563127,4567321,4673251,4673521,4675321,5246731,5324671,5467321,5612347,5631247,5673241,6123457,6312457,6732451,6732541,6735241,6753241,7324561,7325461,7352461,7532461			3	-	5906.lswap-469763027c57.txt~5906.up-aed220b1ebc4.txt
3394d4cf4ce9	7	1234567,1245637,2345617,2456317,2456731,2467351,2467531,2546731,3124567,3245671,3246751,3254671,3456127,3524671,4561237,4563127,4567321,4673251,4673521,4675321,5246731,5324671,5467321,5612347,5631247,5673241,6123457,6312457,6732451,6732541,6735241,6753241,7324561,7325461,7352461,7532461	1246735,1324675,1467325,1472653,1673245,1762543,2146735,2416735,2467135,2467315,2541763,2651473,3124675,3214675,3241675,3246715,4167325,4176253,4671325,4673125,4673215,4726513,5147263,5417623,6254173,6514723,6713245,6731245,6732145,6732415,7132465,7265143,7312465,7321465,7324165,7625413			3	-	5906.lswap-469763027c57.txt~5906.up-aed220b1ebc4.txt
