rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
8384fb408dcb	7		1234567	6712345>2345617,7612345>2345167	6712345>2345167	1	-	S51A-fwd
877802d0a6d8	7	1234567		6712345>2345167	6712345>2345617,7612345>2345167	1	-	S51A-rev
b7f42fbcf252	7		1234567,2345176	6712345>2345617,7612345>2345167,7623451>3451726	6712345>2345176	1	-	S51B-fwd
ccfcce2967d9	7	1234567,2345176		6712345>2345176	6712345>2345617,7612345>2345167,7623451>3451726	1	-	S51B-rev
2692f93be643	7		1234567	6712345>2345617,7651234>1234576	7651234>1234567	1	-	RK7-fwd
bc209b9a2e5b	7	1234567		7651234>1234567	6712345>2345617,7651234>1234576	1	-	RK7-rev
a9ba4a917654	7		1234567	1762345>2345617,7612345>2345167	1762345>2345167	1	-	S51C-fwd
e4f8441995d4	7	1234567		1762345>2345167	1762345>2345617,7612345>2345167	1	-	S51C-rev
860c16d9899d	7		1234567,6234517	1762345>2345617,7162345>2345671,7612345>2345167	1762345>2345671	1	-	S51D-fwd
299cf5873b3d	7	1234567,6234517		1762345>2345671	1762345>2345617,7162345>2345671,7612345>2345167	1	-	S51D-rev
8e5ff4b7b9b5	7	1234567	7123456	6571234>1234756,6751234>1234567,7651234>1234576	6712345>2345617,6751234>1234576,7651234>1234756	1	-	S51E-fwd
51a4c8145597	7	1234567	2345671	1762345>2345167,7123456>3456721,7162345>2345617	1762345>2345617,7162345>2345671,7612345>2345167	1	-	S51E-rev
