n	source_class	target_class	rule
7	0d13fc4a8a4a	1f8e06e3e616	bc209b9a2e5b
7	0d13fc4a8a4a	6d06ac5a442c	ccfcce2967d9
7	0d13fc4a8a4a	760f8ed53670	bc209b9a2e5b
7	0d13fc4a8a4a	b6886875186f	299cf5873b3d
7	1206598d1ff0	28fa39a46e84	299cf5873b3d
7	1206598d1ff0	66637a3b8941	bc209b9a2e5b
7	1206598d1ff0	a8f4f8c29943	ccfcce2967d9
7	1f8e06e3e616	0d13fc4a8a4a	2692f93be643
7	1f8e06e3e616	6d06ac5a442c	877802d0a6d8
7	1f8e06e3e616	b6886875186f	e4f8441995d4
7	201006906949	278a6fb0926a	8e5ff4b7b9b5
7	201006906949	56126e7237c3	860c16d9899d
7	201006906949	898b4be7f5f5	ab88abce72ba
7	201006906949	b7460b51db11	4ecba60aa35e
7	201006906949	c1080e26f60c	a9ba4a917654
7	278a6fb0926a	201006906949	51a4c8145597
7	278a6fb0926a	56126e7237c3	b7f42fbcf252
7	278a6fb0926a	8beac0703625	4ecba60aa35e
7	278a6fb0926a	9747e5040c4f	ab88abce72ba
7	278a6fb0926a	c1080e26f60c	8384fb408dcb
7	28fa39a46e84	1206598d1ff0	860c16d9899d
7	28fa39a46e84	66637a3b8941	a9ba4a917654
7	28fa39a46e84	71afc0a86c10	d0f1e2321709
7	28fa39a46e84	a8f4f8c29943	8e5ff4b7b9b5
7	28fa39a46e84	b6886875186f	ab88abce72ba
7	29c55ed5fbf6	8beac0703625	877802d0a6d8
7	29c55ed5fbf6	b7460b51db11	e4f8441995d4
7	29c55ed5fbf6	bd458e7fc19e	2692f93be643
7	2b6cfbfc27c2	2b8e99475f6c	51a4c8145597
7	2b6cfbfc27c2	987a2fb9ac85	6714c4a96bb4
7	2b6cfbfc27c2	b99b1d60f13e	8384fb408dcb
7	2b6cfbfc27c2	d0b9281ca469	b7f42fbcf252
7	2b8e99475f6c	2b6cfbfc27c2	8e5ff4b7b9b5
7	2b8e99475f6c	b99b1d60f13e	a9ba4a917654
7	2b8e99475f6c	d0b9281ca469	860c16d9899d
7	2b8e99475f6c	ed099f3cf1c9	6714c4a96bb4
7	50d865ca7907	890b6674bd25	2692f93be643
7	50d865ca7907	987a2fb9ac85	877802d0a6d8
7	50d865ca7907	ed099f3cf1c9	e4f8441995d4
7	56126e7237c3	201006906949	299cf5873b3d
7	56126e7237c3	278a6fb0926a	ccfcce2967d9
7	56126e7237c3	c1080e26f60c	bc209b9a2e5b
7	590fe2cb2c21	6a77e138ea8e	bc209b9a2e5b
7	590fe2cb2c21	8d4a807fbabb	299cf5873b3d
7	590fe2cb2c21	c7c9ad57ef20	ccfcce2967d9
7	66637a3b8941	1206598d1ff0	2692f93be643
7	66637a3b8941	28fa39a46e84	e4f8441995d4
7	66637a3b8941	a8f4f8c29943	877802d0a6d8
7	6a142cb8e27d	71afc0a86c10	299cf5873b3d
7	6a142cb8e27d	7f46c8149026	bc209b9a2e5b
7	6a142cb8e27d	dc8c3c9dc519	ccfcce2967d9
7	6a77e138ea8e	590fe2cb2c21	2692f93be643
7	6a77e138ea8e	8d4a807fbabb	e4f8441995d4
7	6a77e138ea8e	c7c9ad57ef20	877802d0a6d8
7	6d06ac5a442c	0d13fc4a8a4a	b7f42fbcf252
7	6d06ac5a442c	1f8e06e3e616	8384fb408dcb
7	6d06ac5a442c	760f8ed53670	8384fb408dcb
7	6d06ac5a442c	a8f4f8c29943	ab88abce72ba
7	6d06ac5a442c	b6886875186f	51a4c8145597
7	6d06ac5a442c	dc8c3c9dc519	ab88abce72ba
7	6dc582bac458	898b4be7f5f5	e4f8441995d4
7	6dc582bac458	9747e5040c4f	877802d0a6d8
7	6dc582bac458	cf8339eb5ca7	2692f93be643
7	71afc0a86c10	28fa39a46e84	d0f1e2321709
7	71afc0a86c10	6a142cb8e27d	860c16d9899d
7	71afc0a86c10	7f46c8149026	a9ba4a917654
7	71afc0a86c10	b6886875186f	ab88abce72ba
7	71afc0a86c10	dc8c3c9dc519	8e5ff4b7b9b5
7	760f8ed53670	0d13fc4a8a4a	2692f93be643
7	760f8ed53670	6d06ac5a442c	877802d0a6d8
7	760f8ed53670	b6886875186f	e4f8441995d4
7	7f46c8149026	6a142cb8e27d	2692f93be643
7	7f46c8149026	71afc0a86c10	e4f8441995d4
7	7f46c8149026	dc8c3c9dc519	877802d0a6d8
7	890b6674bd25	50d865ca7907	bc209b9a2e5b
7	890b6674bd25	987a2fb9ac85	ccfcce2967d9
7	890b6674bd25	ed099f3cf1c9	299cf5873b3d
7	898b4be7f5f5	201006906949	ab88abce72ba
7	898b4be7f5f5	6dc582bac458	a9ba4a917654
7	898b4be7f5f5	9747e5040c4f	8e5ff4b7b9b5
7	898b4be7f5f5	b7460b51db11	ab88abce72ba
7	898b4be7f5f5	cf8339eb5ca7	860c16d9899d
7	898b4be7f5f5	ebd38bf2c1cd	a9ba4a917654
7	8beac0703625	278a6fb0926a	9729dc5f53f8
7	8beac0703625	29c55ed5fbf6	8384fb408dcb
7	8beac0703625	9747e5040c4f	ab88abce72ba
7	8beac0703625	b7460b51db11	51a4c8145597
7	8beac0703625	bd458e7fc19e	b7f42fbcf252
7	8d4a807fbabb	590fe2cb2c21	860c16d9899d
7	8d4a807fbabb	6a77e138ea8e	a9ba4a917654
7	8d4a807fbabb	c7c9ad57ef20	8e5ff4b7b9b5
7	9747e5040c4f	278a6fb0926a	ab88abce72ba
7	9747e5040c4f	6dc582bac458	8384fb408dcb
7	9747e5040c4f	898b4be7f5f5	51a4c8145597
7	9747e5040c4f	8beac0703625	ab88abce72ba
7	9747e5040c4f	cf8339eb5ca7	b7f42fbcf252
7	9747e5040c4f	ebd38bf2c1cd	8384fb408dcb
7	987a2fb9ac85	2b6cfbfc27c2	6714c4a96bb4
7	987a2fb9ac85	50d865ca7907	8384fb408dcb
7	987a2fb9ac85	890b6674bd25	b7f42fbcf252
7	987a2fb9ac85	ed099f3cf1c9	51a4c8145597
7	9b0a88a3309b	df8c9033249e	860c16d9899d
7	9b0a88a3309b	e0f3de4ca026	a9ba4a917654
7	9b0a88a3309b	eff8c653e325	8e5ff4b7b9b5
7	9f233e21883b	a30c7c517d7b	860c16d9899d
7	9f233e21883b	d9a28c2d8195	a9ba4a917654
7	9f233e21883b	df2adfa160ec	8e5ff4b7b9b5
7	a30c7c517d7b	9f233e21883b	299cf5873b3d
7	a30c7c517d7b	d9a28c2d8195	bc209b9a2e5b
7	a30c7c517d7b	df2adfa160ec	ccfcce2967d9
7	a8f4f8c29943	1206598d1ff0	b7f42fbcf252
7	a8f4f8c29943	28fa39a46e84	51a4c8145597
7	a8f4f8c29943	66637a3b8941	8384fb408dcb
7	a8f4f8c29943	6d06ac5a442c	ab88abce72ba
7	a8f4f8c29943	dc8c3c9dc519	d0f1e2321709
7	b6886875186f	0d13fc4a8a4a	860c16d9899d
7	b6886875186f	1f8e06e3e616	a9ba4a917654
7	b6886875186f	28fa39a46e84	ab88abce72ba
7	b6886875186f	6d06ac5a442c	8e5ff4b7b9b5
7	b6886875186f	71afc0a86c10	ab88abce72ba
7	b6886875186f	760f8ed53670	a9ba4a917654
7	b7460b51db11	201006906949	9729dc5f53f8
7	b7460b51db11	29c55ed5fbf6	a9ba4a917654
7	b7460b51db11	898b4be7f5f5	ab88abce72ba
7	b7460b51db11	8beac0703625	8e5ff4b7b9b5
7	b7460b51db11	bd458e7fc19e	860c16d9899d
7	b99b1d60f13e	2b6cfbfc27c2	877802d0a6d8
7	b99b1d60f13e	2b8e99475f6c	e4f8441995d4
7	b99b1d60f13e	d0b9281ca469	2692f93be643
7	bd458e7fc19e	29c55ed5fbf6	bc209b9a2e5b
7	bd458e7fc19e	8beac0703625	ccfcce2967d9
7	bd458e7fc19e	b7460b51db11	299cf5873b3d
7	c1080e26f60c	201006906949	e4f8441995d4
7	c1080e26f60c	278a6fb0926a	877802d0a6d8
7	c1080e26f60c	56126e7237c3	2692f93be643
