class_rep	member	shape	source_tables	n_pairs	census_undirected_edges	inverse_id
0058ac858d36	0058ac858d36	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	1be958ce8f4e
0058ac858d36	49eb8498235d	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	92dd26e01875
00feabfe3da8	00feabfe3da8	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	098ff226f2b8
00feabfe3da8	c59c5cc23415	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	afd8434437e6
02397927f53b	02397927f53b	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	74d503e42116
02397927f53b	725677205daf	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	8	fb50a523fce2
033afc57097e	033afc57097e	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	a5214c898b1c
033afc57097e	b4f13531d2e2	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	8	f3530a9a4032
05ae19017d4c	05ae19017d4c	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	d16acee52433
05ae19017d4c	3b4fcdbf4387	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	5466fc6ea07e
05d1006a63d6	05d1006a63d6	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	ea32ce94656c
05d1006a63d6	aeff70f41be6	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	94ad22a39ddf
05db12227184	05db12227184	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	a98e907ebc54
05db12227184	2cd2cc12e153	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	94fd6c73a0d1
08979c4016d6	08979c4016d6	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	b33e8d83721c
08979c4016d6	42fbf3f0d536	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	a6cdd296693f
098ff226f2b8	098ff226f2b8	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	00feabfe3da8
098ff226f2b8	afd8434437e6	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	c59c5cc23415
13f6c2effda5	13f6c2effda5	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	4eb2562f0637
13f6c2effda5	3928acbccbec	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	1e95aaf59d36
151c9d94814a	151c9d94814a	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	5166d6e62e75
151c9d94814a	3f4b1bcb6fa8	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	e3da64e6da9b
19278553942a	19278553942a	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	b33afc4539f0
19278553942a	bbd8011c82a9	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	df07b5dbb378
1be958ce8f4e	1be958ce8f4e	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	0058ac858d36
1be958ce8f4e	92dd26e01875	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	49eb8498235d
1d16cacba0be	1d16cacba0be	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	d306546e9989
1d16cacba0be	64747b1aaa96	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	71e1161ee3eb
1d9d6b4be098	1d9d6b4be098	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	205e00aedd5c
1d9d6b4be098	6956c983c235	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	c65aef8bfb75
1e95aaf59d36	1e95aaf59d36	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	3928acbccbec
1e95aaf59d36	4eb2562f0637	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	13f6c2effda5
1e97b4d2bd18	1e97b4d2bd18	126,126,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	16	a9604abeb264
1e97b4d2bd18	e8010fda4ae9	126,126,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=4	16	90628da2dd0c
205e00aedd5c	205e00aedd5c	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	1d9d6b4be098
205e00aedd5c	c65aef8bfb75	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	6956c983c235
2385661fb60e	2385661fb60e	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	f929134a1b76
2385661fb60e	ceaf9e8f25f1	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	e1f44691aec8
279bcba663d9	279bcba663d9	138,138,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	709cf47fa2d3
279bcba663d9	ff4cfd62723a	138,138,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	4	8709489b69c1
27b09fd682e3	27b09fd682e3	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	45a947482465
27b09fd682e3	d3d61412dc56	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	4397e30222b2
28e415dd7f02	28e415dd7f02	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	c26c151d9d54
28e415dd7f02	c26c151d9d54	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	28e415dd7f02
292c02641e63	292c02641e63	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	fb61739cb012
292c02641e63	a89df6442166	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	939426db79b6
2a00cff26db3	2a00cff26db3	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	3ab705716374
2a00cff26db3	fc915925a29e	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	c600828cb5e3
2e62188e3c8b	2e62188e3c8b	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=14	16	48f9270682d9
2e62188e3c8b	48f9270682d9	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=14	16	2e62188e3c8b
31a6811f7e37	31a6811f7e37	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	566247c9db1e
31a6811f7e37	b084b8ac8244	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	ed39c8e00437
3394d4cf4ce9	3394d4cf4ce9	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	67eacd157bbc
3394d4cf4ce9	b84e5852608b	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	90d033b7ddbf
399155bb1069	399155bb1069	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	e102740b5841
399155bb1069	b63310b11815	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	5a8c41d2ff5e
39a60f60d325	39a60f60d325	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	c46ad2463388
39a60f60d325	95415ff344bb	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	60748cf01c32
3a101202e00b	3a101202e00b	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	af8282bcbcba
3a101202e00b	d1a0033e1269	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	f64e9f0a8b15
3a296520ca00	3a296520ca00	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	53ccd5171863
3a296520ca00	ec8aeb81c478	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	9e9d1fddba16
3ab705716374	3ab705716374	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	2a00cff26db3
3ab705716374	c600828cb5e3	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	fc915925a29e
3b998b76d7fd	3b998b76d7fd	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	d6df25eea20b
3b998b76d7fd	aca056ea4c48	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	bf52ef05ab91
3fec56d50447	3fec56d50447	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	ce6c866f9d29
3fec56d50447	b83b30ee08ce	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	801e28b3acb6
