a	b	new
025c4805fc39	031568aa1b5c	known
025c4805fc39	0db50fc7743c	known
025c4805fc39	16ca46d2c5a9	known
025c4805fc39	2497c9291398	known
025c4805fc39	29ee6f7c1197	known
025c4805fc39	2ae54d2fd96c	known
025c4805fc39	331e3f0f91ee	known
025c4805fc39	3b66fbdbdf53	known
025c4805fc39	49fac07a5323	known
025c4805fc39	52e683fb05d3	known
025c4805fc39	53b55626d912	known
025c4805fc39	5808edca979d	known
025c4805fc39	5dbb54e50268	known
025c4805fc39	62d959eb4e73	known
025c4805fc39	6d0ad177e5ee	known
025c4805fc39	7f47c6e6eeda	known
025c4805fc39	8ed814577309	known
025c4805fc39	9a5cc6a6e3c8	known
025c4805fc39	9f3672f6c430	known
025c4805fc39	a7d2db45842b	known
025c4805fc39	af54b6f406a6	known
025c4805fc39	df71274e07be	known
025c4805fc39	e145b859ca30	known
025c4805fc39	e2d18fca77cb	known
025c4805fc39	e73e096376f0	known
031568aa1b5c	0db50fc7743c	known
031568aa1b5c	16ca46d2c5a9	known
031568aa1b5c	2497c9291398	known
031568aa1b5c	2ae54d2fd96c	known
031568aa1b5c	52e683fb05d3	known
031568aa1b5c	5808edca979d	known
031568aa1b5c	5dbb54e50268	known
031568aa1b5c	62d959eb4e73	known
031568aa1b5c	7f47c6e6eeda	known
031568aa1b5c	8ed814577309	known
031568aa1b5c	9a5cc6a6e3c8	known
031568aa1b5c	a7d2db45842b	known
031568aa1b5c	df71274e07be	known
09c105553d61	10f62906b166	known
09c105553d61	28b97fbb68d1	known
09c105553d61	3a55a72f70d6	known
09c105553d61	6597315411ea	known
09c105553d61	67fc5c2184ab	known
09c105553d61	c3afee7ed153	known
09c105553d61	c63a66adbc60	known
09c105553d61	d1489855deef	known
09c105553d61	db110b7302cf	known
0d2e98183c29	0de54c0a7bb6	known
0d2e98183c29	168d62e1a9d1	known
0d2e98183c29	2497c9291398	known
0d2e98183c29	25804d565b10	known
0d2e98183c29	29ee6f7c1197	known
0d2e98183c29	2cb6c1139592	known
0d2e98183c29	3b4f2e286e0c	known
0d2e98183c29	3c791ffa671d	known
