class_a	class_b	deepest_d	shared_perms	orient	status
5906.up-1206598d1ff0.txt	5906.i4a-66637a3b8941.txt	2520	2520	fr	KNOWN-EDGE
5906.up-56126e7237c3.txt	5906.i4a-c1080e26f60c.txt	2520	2520	fr	KNOWN-EDGE
5906.up-590fe2cb2c21.txt	5906.i4a-6a77e138ea8e.txt	2520	2520	fr	KNOWN-EDGE
5906.up-6a142cb8e27d.txt	5906.i4a-7f46c8149026.txt	2520	2520	fr	KNOWN-EDGE
5906.up-890b6674bd25.txt	5906.i4a-50d865ca7907.txt	2520	2520	fr	KNOWN-EDGE
5906.up-a30c7c517d7b.txt	5906.up-d9a28c2d8195.txt	2520	2520	fr	KNOWN-EDGE
5906.up-bd458e7fc19e.txt	5906.i4a-29c55ed5fbf6.txt	2520	2520	fr	KNOWN-EDGE
5906.up-d0b9281ca469.txt	5906.i4a-b99b1d60f13e.txt	2520	2520	fr	KNOWN-EDGE
5906.up-df8c9033249e.txt	5906.i4a-e0f3de4ca026.txt	2520	2520	fr	KNOWN-EDGE
5906.up-e948752d6a32.txt	5906.up-eebb02e3baec.txt	3493	1547	ff	
5906.up-168d62e1a9d1.txt	5906.up-2cb6c1139592.txt	3598	1442	ff	
5906.up-91a0d3cd2c14.txt	5906.up-e94d2b57a7d4.txt	3633	1407	ff	
5906.up-c3afee7ed153.txt	5906.up-c63a66adbc60.txt	3709	1331	ff	
5906.up-14e2c7b29aae.txt	5906.up-a838f31a7b4f.txt	3738	1302	ff	
5906.up-6597315411ea.txt	5906.up-d1489855deef.txt	3849	1191	ff	
5906.up-78d638be95ae.txt	5906.up-e65e244c83d3.txt	3852	1188	ff	
5906.up-207dc5352d35.txt	5906.up-37ac2db82134.txt	3932	1108	ff	
5906.up-6f42b3603dac.txt	5906.up-7f9a93193f10.txt	4036	1004	ff	
5906.up-72482a71c81e.txt	5906.up-f2c7804be474.txt	4142	898	ff	
5906.up-0a065898a821.txt	5906.up-377da0a3c300.txt	4185	855	ff	
5906.up-6597315411ea.txt	5906.up-c3afee7ed153.txt	4208	832	ff	
5906.up-6597315411ea.txt	5906.up-c63a66adbc60.txt	4208	832	ff	
5906.up-c3afee7ed153.txt	5906.up-d1489855deef.txt	4208	832	ff	
5906.up-c63a66adbc60.txt	5906.up-d1489855deef.txt	4208	832	ff	
5906.up-1bced7f87a93.txt	5906.up-a233fdf94b8d.txt	4301	739	ff	
5906.up-23ca8a9bcc81.txt	5906.up-aed220b1ebc4.txt	4383	657	ff	
5906.up-890b6674bd25.txt	5906.up-d0b9281ca469.txt	4418	622	ff	
5906.up-890b6674bd25.txt	5906.i4a-b99b1d60f13e.txt	4418	622	ff	
5906.up-d0b9281ca469.txt	5906.i4a-50d865ca7907.txt	4418	622	ff	
5906.i4a-50d865ca7907.txt	5906.i4a-b99b1d60f13e.txt	4418	622	ff	
5906.up-7c111e182316.txt	5906.up-b2d6bec1e3bd.txt	4453	587	ff	
5906.up-56126e7237c3.txt	5906.up-bd458e7fc19e.txt	4458	582	ff	
5906.up-56126e7237c3.txt	5906.i4a-29c55ed5fbf6.txt	4458	582	ff	
5906.up-bd458e7fc19e.txt	5906.i4a-c1080e26f60c.txt	4458	582	ff	
5906.i4a-29c55ed5fbf6.txt	5906.i4a-c1080e26f60c.txt	4458	582	ff	
5906.up-95ffff5c765c.txt	5906.up-cad80abdf334.txt	4461	579	ff	
5906.up-0a065898a821.txt	5906.up-72482a71c81e.txt	4475	565	ff	
5906.up-0a065898a821.txt	5906.up-f2c7804be474.txt	4475	565	ff	
5906.up-377da0a3c300.txt	5906.up-72482a71c81e.txt	4475	565	ff	
5906.up-377da0a3c300.txt	5906.up-f2c7804be474.txt	4475	565	ff	
5906.up-1206598d1ff0.txt	5906.up-6a142cb8e27d.txt	4627	413	ff	
5906.up-1206598d1ff0.txt	5906.i4a-7f46c8149026.txt	4627	413	ff	
5906.up-6a142cb8e27d.txt	5906.i4a-66637a3b8941.txt	4627	413	ff	
5906.i4a-66637a3b8941.txt	5906.i4a-7f46c8149026.txt	4627	413	ff	
5906.up-a235b0e09b6c.txt	5906.up-abe33e328763.txt	4631	409	ff	
5906.up-0a065898a821.txt	5906.up-6597315411ea.txt	4651	389	ff	
5906.up-0a065898a821.txt	5906.up-c3afee7ed153.txt	4651	389	ff	
5906.up-0a065898a821.txt	5906.up-c63a66adbc60.txt	4651	389	ff	
5906.up-0a065898a821.txt	5906.up-d1489855deef.txt	4651	389	ff	
5906.up-377da0a3c300.txt	5906.up-6597315411ea.txt	4651	389	ff	
5906.up-377da0a3c300.txt	5906.up-c3afee7ed153.txt	4651	389	ff	
5906.up-377da0a3c300.txt	5906.up-c63a66adbc60.txt	4651	389	ff	
5906.up-377da0a3c300.txt	5906.up-d1489855deef.txt	4651	389	ff	
5906.up-6597315411ea.txt	5906.up-72482a71c81e.txt	4651	389	ff	
5906.up-6597315411ea.txt	5906.up-f2c7804be474.txt	4651	389	ff	
5906.up-72482a71c81e.txt	5906.up-c3afee7ed153.txt	4651	389	ff	
5906.up-72482a71c81e.txt	5906.up-c63a66adbc60.txt	4651	389	ff	
5906.up-72482a71c81e.txt	5906.up-d1489855deef.txt	4651	389	ff	
5906.up-c3afee7ed153.txt	5906.up-f2c7804be474.txt	4651	389	ff	
5906.up-c63a66adbc60.txt	5906.up-f2c7804be474.txt	4651	389	ff	
5906.up-d1489855deef.txt	5906.up-f2c7804be474.txt	4651	389	ff	
5906.up-a001786e5861.txt	5906.up-e1680a9d0e30.txt	4665	375	ff	
5906.up-02d771908307.txt	5906.up-9a915a83c416.txt	4691	349	ff	
5906.up-3de4f10d5095.txt	5906.up-a235b0e09b6c.txt	4706	334	ff	
5906.up-3de4f10d5095.txt	5906.up-abe33e328763.txt	4706	334	ff	
5906.up-0a065898a821.txt	5906.up-63a938be8d73.txt	4732	308	ff	
5906.up-377da0a3c300.txt	5906.up-63a938be8d73.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-6597315411ea.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-72482a71c81e.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-c3afee7ed153.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-c63a66adbc60.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-d1489855deef.txt	4732	308	ff	
5906.up-63a938be8d73.txt	5906.up-f2c7804be474.txt	4732	308	ff	
5906.up-331e3f0f91ee.txt	5906.up-53b55626d912.txt	4749	291	ff	
5906.up-55058cab6cba.txt	5906.up-f0a3bb335ed9.txt	4764	276	ff	
5906.up-14e2c7b29aae.txt	5906.up-5ce87c54ecea.txt	4776	264	ff	
5906.up-5ce87c54ecea.txt	5906.up-a838f31a7b4f.txt	4776	264	ff	
5906.up-d2559533f431.txt	5906.up-e948752d6a32.txt	4782	258	ff	
5906.up-d2559533f431.txt	5906.up-eebb02e3baec.txt	4782	258	ff	
5906.up-454308027985.txt	5906.up-e132c7a7c340.txt	4802	238	ff	
5906.up-3ffb4355518f.txt	5906.up-956f3f1864b5.txt	4808	232	ff	
5906.up-8ec03171f5df.txt	5906.up-91a0d3cd2c14.txt	4817	223	ff	
5906.up-8ec03171f5df.txt	5906.up-e94d2b57a7d4.txt	4817	223	ff	
5906.up-0db50fc7743c.txt	5906.up-16ca46d2c5a9.txt	4819	221	ff	
5906.up-23ca8a9bcc81.txt	5906.up-d2559533f431.txt	4819	221	ff	
5906.up-23ca8a9bcc81.txt	5906.up-e948752d6a32.txt	4819	221	ff	
5906.up-23ca8a9bcc81.txt	5906.up-eebb02e3baec.txt	4819	221	ff	
5906.up-aed220b1ebc4.txt	5906.up-d2559533f431.txt	4819	221	ff	
5906.up-aed220b1ebc4.txt	5906.up-e948752d6a32.txt	4819	221	ff	
5906.up-aed220b1ebc4.txt	5906.up-eebb02e3baec.txt	4819	221	ff	
