class_a	class_b	deepest_d	shared_perms	orient	status
872.up-0105a4b77ce8.txt	872.up-b020caf20414.txt	136	584	rr	KNOWN-EDGE
872.up-7ad1d8247eca.txt	872.up-f7bd304a1cf5.txt	157	563	rr	NEW
872.up-314067e0df43.txt	872.up-b085d57241a9.txt	161	559	rr	NEW
872.up-1f8cae05a727.txt	872.up-706cd862c2a3.txt	171	549	ff	NEW
872.up-abdf013a6935.txt	872.up-ae167692bd96.txt	171	549	rr	NEW
872.up-238eaae22f05.txt	872.up-612fc5cb2ae5.txt	175	545	ff	NEW
872.up-293f18c650d7.txt	872.up-86609009a88b.txt	175	545	ff	NEW
872.up-3e7585a64270.txt	872.up-a8d6e3d7b419.txt	175	545	ff	NEW
872.up-0c01cb2971c7.txt	872.up-e1aaf0354090.txt	177	543	rr	NEW
872.up-1963362330a7.txt	872.up-28900d399ab1.txt	177	543	ff	NEW
872.up-27f169e7f65f.txt	872.up-e92e15e93741.txt	177	543	rr	NEW
872.up-28d3d4b1045f.txt	872.up-ec4e5bb0333c.txt	177	543	rr	NEW
872.up-38d1d06168bc.txt	872.up-bda3d87ca120.txt	185	535	ff	NEW
872.up-7d145332c908.txt	872.up-9aca389fd66a.txt	185	535	rr	NEW
872.up-1a8301d404c4.txt	872.up-2371863c9c05.txt	188	532	ff	NEW
872.up-44bfe1dd8686.txt	872.up-ba5f969a9580.txt	188	532	ff	NEW
872.up-8791ffaa44ef.txt	872.up-af98b14283a2.txt	188	532	rr	NEW
872.up-1b2afa77e2b9.txt	872.up-6eeb4a410d4f.txt	195	525	rr	NEW
872.up-332dfe33b264.txt	872.up-e19b168e448b.txt	195	525	ff	NEW
872.up-ae9784bef819.txt	872.up-b81e632d4649.txt	195	525	rr	NEW
872.up-aee89c9fb91d.txt	872.up-e77afad583f8.txt	196	524	rr	NEW
872.up-00d8a2629a10.txt	872.up-79cc5cc3e924.txt	200	520	ff	NEW
872.up-bf46ae69a962.txt	872.up-e9791aca244e.txt	200	520	ff	NEW
872.up-1a3df4196e76.txt	872.up-2b39a07a3697.txt	201	519	ff	NEW
872.up-420c3dcb4fe8.txt	872.up-a563186f309f.txt	201	519	ff	NEW
872.up-896b03d79343.txt	872.up-a5892f1a76d0.txt	202	518	ff	NEW
872.up-8eaac7abe5d8.txt	872.up-cd705209bdf2.txt	206	514	ff	NEW
872.up-b8d165c32f8d.txt	872.up-c0bd6a3da90f.txt	206	514	rr	NEW
872.up-8342d2db0570.txt	872.up-c00ef23568cd.txt	208	512	ff	NEW
872.up-2323e4140593.txt	872.up-5a918daea90c.txt	209	511	fr	NEW
872.up-241bb872d71b.txt	872.up-2cbd96356351.txt	210	510	rr	NEW
872.up-7ce7299d7675.txt	872.up-9414cbe7d7e5.txt	210	510	rr	NEW
872.up-234f5dab1dc7.txt	872.up-fea28273d397.txt	213	507	ff	NEW
872.up-283452726488.txt	872.up-30c849ac99a9.txt	213	507	ff	NEW
872.up-2cd602016af2.txt	872.up-3043e4609606.txt	213	507	ff	NEW
872.up-b6d8394e0f22.txt	872.up-fc6db0c5ba49.txt	213	507	rr	NEW
872.up-0f5f52139f51.txt	872.up-259905fff171.txt	214	506	ff	NEW
872.up-5398c380ddc9.txt	872.up-5bc8f3c25112.txt	214	506	ff	NEW
872.up-05009ff47375.txt	872.up-89370f1d0f81.txt	215	505	ff	NEW
872.up-41e770989166.txt	872.up-5d13967e22a8.txt	215	505	ff	NEW
872.up-b2f5f8f5acf1.txt	872.up-eb0a96d76958.txt	215	505	rr	NEW
872.up-20b00788139d.txt	872.up-e9c1d4220829.txt	216	504	rr	NEW
872.up-2b7d45bf7439.txt	872.up-aec0f6e72b5b.txt	216	504	rr	NEW
872.up-48192560fb3b.txt	872.up-8358d4997fc8.txt	216	504	rr	NEW
872.up-b126f46de697.txt	872.up-e1ddaf57ad32.txt	216	504	ff	NEW
872.up-3113f63d5ce4.txt	872.up-e8afd854f113.txt	217	503	rf	NEW
872.up-08556db513e7.txt	872.up-4dd90c49d59d.txt	218	502	ff	NEW
872.up-2ba6af6ea6bb.txt	872.up-cc3fb3a79e65.txt	218	502	ff	NEW
872.up-6b345b32a416.txt	872.up-f70cb35f467c.txt	218	502	ff	NEW
872.up-6afc0afba548.txt	872.up-ed1a7862b67e.txt	220	500	ff	NEW
872.up-2a676887bf6e.txt	872.up-b75c020ecc6c.txt	221	499	rr	NEW
872.up-74990d8b7b1a.txt	872.up-d23acc6e7081.txt	221	499	rr	NEW
872.up-722c48ce0c1a.txt	872.up-f148d61e8d2c.txt	221	499	rf	NEW
872.up-56ddcb96caa9.txt	872.up-8c2c3f50257e.txt	222	498	rr	NEW
872.up-14c9e00f2cd7.txt	872.up-eee40dc26d23.txt	223	497	rr	NEW
872.up-5f96c3d78018.txt	872.up-d212eeb5b884.txt	223	497	rr	NEW
872.up-110b9455b63f.txt	872.up-719d3e6ad24f.txt	225	495	ff	NEW
872.up-120d83f972df.txt	872.up-9de29fe4239a.txt	225	495	rr	NEW
872.up-16309106f9d6.txt	872.up-30b08db83974.txt	225	495	rr	NEW
872.up-4c9a04ed2141.txt	872.up-51c894dbb2cf.txt	225	495	rr	NEW
872.up-55b1f6d9bbcb.txt	872.up-c2cc8de0a783.txt	225	495	ff	NEW
872.up-6693037f5b87.txt	872.up-8246d00209fe.txt	225	495	rr	NEW
872.up-685abd11716a.txt	872.up-8612d4c7b09c.txt	225	495	ff	NEW
872.up-79e814899588.txt	872.up-c50a4e822d41.txt	225	495	rf	NEW
