class_a	class_b	deepest_d	shared_perms	orient	status
5906.lswap-d515e64b87be.txt	5906.up-02d771908307.txt	677	4363	fr	NEW
5906.lswap-d515e64b87be.txt	5906.up-e132c7a7c340.txt	677	4363	ff	NEW
5906.lswap-17946ea8ba63.txt	5906.lswap-68a263f18066.txt	712	4328	rr	NEW
5906.lswap-6008b60b1c2c.txt	5906.lswap-f8f86258580e.txt	712	4328	fr	NEW
5906.lswap-6008b60b1c2c.txt	5906.lswap-68a263f18066.txt	747	4293	rf	NEW
5906.lswap-17946ea8ba63.txt	5906.lswap-f8f86258580e.txt	747	4293	ff	NEW
5906.lswap-4a581202d46c.txt	5906.up-9a915a83c416.txt	782	4258	fr	NEW
5906.lswap-4a581202d46c.txt	5906.up-454308027985.txt	782	4258	ff	NEW
5906.lswap-09c105553d61.txt	5906.lswap-10f62906b166.txt	1885	3155	fr	NEW
5906.lswap-67fc5c2184ab.txt	5906.lswap-db110b7302cf.txt	1885	3155	fr	NEW
5906.lswap-3a55a72f70d6.txt	5906.up-6597315411ea.txt	1955	3085	fr	NEW
5906.lswap-28b97fbb68d1.txt	5906.up-c3afee7ed153.txt	1955	3085	fr	NEW
5906.lswap-28b97fbb68d1.txt	5906.up-c63a66adbc60.txt	1955	3085	ff	NEW
5906.lswap-3a55a72f70d6.txt	5906.up-d1489855deef.txt	1955	3085	ff	NEW
5906.lswap-09c105553d61.txt	5906.lswap-db110b7302cf.txt	2025	3015	rf	NEW
5906.lswap-10f62906b166.txt	5906.lswap-67fc5c2184ab.txt	2025	3015	fr	NEW
5906.lswap-06f4ba2c8122.txt	5906.lswap-23548cda0ace.txt	2095	2945	fr	NEW
5906.lswap-8f58c699a11d.txt	5906.lswap-9bf7e32c6472.txt	2095	2945	rf	NEW
5906.lswap-9f885c2a5e20.txt	5906.up-0a065898a821.txt	2165	2875	fr	NEW
5906.lswap-945cf8ae5bef.txt	5906.up-377da0a3c300.txt	2165	2875	fr	NEW
5906.lswap-9f885c2a5e20.txt	5906.up-72482a71c81e.txt	2165	2875	ff	NEW
5906.lswap-945cf8ae5bef.txt	5906.up-f2c7804be474.txt	2165	2875	ff	NEW
5906.lswap-06f4ba2c8122.txt	5906.lswap-8f58c699a11d.txt	2235	2805	rf	NEW
5906.lswap-23548cda0ace.txt	5906.lswap-9bf7e32c6472.txt	2235	2805	fr	NEW
5906.lswap-1e70957354f1.txt	5906.lswap-73851215f718.txt	2278	2762	rf	NEW
5906.lswap-2fb529601be6.txt	5906.lswap-821102adfff8.txt	2278	2762	rf	NEW
5906.lswap-423441640591.txt	5906.up-23ca8a9bcc81.txt	2348	2692	fr	NEW
5906.lswap-423441640591.txt	5906.up-aed220b1ebc4.txt	2348	2692	ff	NEW
5906.lswap-3c791ffa671d.txt	5906.up-7c111e182316.txt	2348	2692	ff	NEW
5906.lswap-3c791ffa671d.txt	5906.up-b2d6bec1e3bd.txt	2348	2692	fr	NEW
5906.lswap-3baeeea281f2.txt	5906.lswap-e0920da719d9.txt	2412	2628	ff	NEW
5906.lswap-cf8339eb5ca7.txt	5906.lswap-ebd38bf2c1cd.txt	2415	2625	ff	NEW
5906.lswap-1e70957354f1.txt	5906.lswap-821102adfff8.txt	2418	2622	fr	NEW
5906.lswap-2fb529601be6.txt	5906.lswap-73851215f718.txt	2418	2622	fr	NEW
5906.lswap-9edd04d13626.txt	5906.up-1bced7f87a93.txt	2437	2603	ff	NEW
5906.lswap-9edd04d13626.txt	5906.up-a233fdf94b8d.txt	2437	2603	fr	NEW
5906.lswap-a28e203d65dc.txt	5906.lswap-b55f23a2f470.txt	2447	2593	ff	NEW
5906.lswap-637b5054102a.txt	5906.up-6f42b3603dac.txt	2475	2565	fr	NEW
5906.lswap-637b5054102a.txt	5906.up-7f9a93193f10.txt	2475	2565	ff	NEW
5906.lswap-0d13fc4a8a4a.txt	5906.lswap-760f8ed53670.txt	2485	2555	rf	NEW
5906.lswap-c394b34cb7cc.txt	5906.up-63a938be8d73.txt	2499	2541	fr	NEW
5906.lswap-c394b34cb7cc.txt	5906.up-d8c6ba46400e.txt	2499	2541	ff	NEW
5906.i4a-66637a3b8941.txt	5906.up-1206598d1ff0.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-7f46c8149026.txt	5906.up-6a142cb8e27d.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-c1080e26f60c.txt	5906.up-56126e7237c3.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-29c55ed5fbf6.txt	5906.up-bd458e7fc19e.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-6a77e138ea8e.txt	5906.up-590fe2cb2c21.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-50d865ca7907.txt	5906.up-890b6674bd25.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-b99b1d60f13e.txt	5906.up-d0b9281ca469.txt	2520	2520	fr	KNOWN-EDGE
5906.up-a30c7c517d7b.txt	5906.up-d9a28c2d8195.txt	2520	2520	fr	KNOWN-EDGE
5906.i4a-e0f3de4ca026.txt	5906.up-df8c9033249e.txt	2520	2520	fr	KNOWN-EDGE
5906.lswap-41a210488ac9.txt	5906.lswap-5a55d1641a86.txt	2552	2488	rr	NEW
5906.lswap-49fc63d034f2.txt	5906.lswap-4c179f65aa4b.txt	2552	2488	rf	NEW
5906.lswap-0de54c0a7bb6.txt	5906.lswap-7602ba885180.txt	2552	2488	rf	NEW
5906.lswap-17203113788c.txt	5906.lswap-6d7ea156bdcc.txt	2552	2488	rr	NEW
5906.lswap-0d13fc4a8a4a.txt	5906.lswap-1f8e06e3e616.txt	2555	2485	ff	NEW
5906.lswap-6f6f375dca74.txt	5906.lswap-be4759bc731a.txt	2587	2453	rr	NEW
5906.lswap-aa52880fc9e0.txt	5906.lswap-d252e4d38aa9.txt	2587	2453	fr	NEW
5906.lswap-964ebce5847f.txt	5906.lswap-f6dbf9989449.txt	2587	2453	rf	NEW
5906.lswap-5764c730eaee.txt	5906.lswap-6bd82af50a4e.txt	2587	2453	rr	NEW
5906.lswap-2497c9291398.txt	5906.lswap-5808edca979d.txt	2617	2423	fr	NEW
5906.lswap-6dc582bac458.txt	5906.lswap-cf8339eb5ca7.txt	2625	2415	fr	NEW
5906.lswap-1f8e06e3e616.txt	5906.lswap-760f8ed53670.txt	2632	2408	rf	NEW
5906.lswap-3d82ae1f2111.txt	5906.lswap-e21e24656b8e.txt	2634	2406	rf	NEW
5906.lswap-17203113788c.txt	5906.lswap-3baeeea281f2.txt	2645	2395	rf	NEW
5906.lswap-17203113788c.txt	5906.lswap-e0920da719d9.txt	2645	2395	rf	NEW
5906.lswap-25804d565b10.txt	5906.lswap-52f45c5e8e22.txt	2645	2395	fr	NEW
5906.lswap-3baeeea281f2.txt	5906.lswap-6d7ea156bdcc.txt	2645	2395	fr	NEW
5906.lswap-6d7ea156bdcc.txt	5906.lswap-e0920da719d9.txt	2645	2395	rf	NEW
5906.lswap-52e683fb05d3.txt	5906.lswap-a7d2db45842b.txt	2652	2388	rf	NEW
5906.lswap-5764c730eaee.txt	5906.lswap-a28e203d65dc.txt	2680	2360	rf	NEW
5906.lswap-5764c730eaee.txt	5906.lswap-b55f23a2f470.txt	2680	2360	rf	NEW
5906.lswap-6bd82af50a4e.txt	5906.lswap-a28e203d65dc.txt	2680	2360	rf	NEW
5906.lswap-6bd82af50a4e.txt	5906.lswap-b55f23a2f470.txt	2680	2360	rf	NEW
5906.lswap-cf5ecb0e9ecc.txt	5906.up-a838f31a7b4f.txt	2692	2348	ff	NEW
5906.lswap-cae9c3b46793.txt	5906.up-2cb6c1139592.txt	2692	2348	ff	NEW
5906.lswap-3b4f2e286e0c.txt	5906.lswap-b12d38608f09.txt	2692	2348	ff	NEW
5906.lswap-5228890279ca.txt	5906.lswap-b12d38608f09.txt	2692	2348	rr	NEW
5906.lswap-469763027c57.txt	5906.up-eebb02e3baec.txt	2692	2348	ff	NEW
5906.lswap-e59a6239aa79.txt	5906.up-91a0d3cd2c14.txt	2692	2348	ff	NEW
5906.lswap-cf5ecb0e9ecc.txt	5906.up-14e2c7b29aae.txt	2727	2313	fr	NEW
5906.lswap-cae9c3b46793.txt	5906.up-168d62e1a9d1.txt	2727	2313	fr	NEW
5906.lswap-3b4f2e286e0c.txt	5906.lswap-5a7a973564fd.txt	2727	2313	rr	NEW
5906.lswap-5228890279ca.txt	5906.lswap-5a7a973564fd.txt	2727	2313	ff	NEW
5906.lswap-469763027c57.txt	5906.up-e948752d6a32.txt	2727	2313	fr	NEW
5906.lswap-e59a6239aa79.txt	5906.up-e94d2b57a7d4.txt	2727	2313	fr	NEW
5906.lswap-7217a0cd3774.txt	5906.lswap-7bd46049981f.txt	2750	2290	ff	NEW
5906.lswap-25cebe1ff658.txt	5906.lswap-7217a0cd3774.txt	2774	2266	fr	NEW
