class_a	class_b	shared_perms	loops_swapped	doors_changed	swap_signature
5906.up-e948752d6a32.txt	5906.up-eebb02e3baec.txt	1547	8	0	6b987d477796
5906.up-168d62e1a9d1.txt	5906.up-2cb6c1139592.txt	1442	8	0	6b987d477796
5906.up-91a0d3cd2c14.txt	5906.up-e94d2b57a7d4.txt	1407	8	0	6b987d477796
5906.up-c3afee7ed153.txt	5906.up-c63a66adbc60.txt	1331	8	0	f7611e935104
5906.up-14e2c7b29aae.txt	5906.up-a838f31a7b4f.txt	1302	8	0	6b987d477796
5906.up-6597315411ea.txt	5906.up-d1489855deef.txt	1191	8	0	f7611e935104
5906.up-78d638be95ae.txt	5906.up-e65e244c83d3.txt	1188	8	0	b0a57898e37e
5906.up-207dc5352d35.txt	5906.up-37ac2db82134.txt	1108	8	0	e807ae9e42e0
5906.up-6f42b3603dac.txt	5906.up-7f9a93193f10.txt	1004	8	0	29d87a06d747
5906.up-72482a71c81e.txt	5906.up-f2c7804be474.txt	898	8	0	085a8c9480ab
5906.up-0a065898a821.txt	5906.up-377da0a3c300.txt	855	8	0	085a8c9480ab
5906.up-6597315411ea.txt	5906.up-c3afee7ed153.txt	832	8	0	085a8c9480ab
5906.up-6597315411ea.txt	5906.up-c63a66adbc60.txt	832	16	0	e95cd2ea9a1a
5906.up-c3afee7ed153.txt	5906.up-d1489855deef.txt	832	16	0	5abbbceb1a7a
5906.up-c63a66adbc60.txt	5906.up-d1489855deef.txt	832	8	0	085a8c9480ab
5906.up-1bced7f87a93.txt	5906.up-a233fdf94b8d.txt	739	8	0	809a00b93e2e
5906.up-23ca8a9bcc81.txt	5906.up-aed220b1ebc4.txt	657	8	0	f728a0379f47
5906.up-890b6674bd25.txt	5906.up-d0b9281ca469.txt	622	8	0	e42578b72118
5906.up-890b6674bd25.txt	5906.i4a-b99b1d60f13e.txt	622	8	3	48b0b4ff3ecd
5906.up-d0b9281ca469.txt	5906.i4a-50d865ca7907.txt	622	8	3	78d47fdece45
5906.i4a-50d865ca7907.txt	5906.i4a-b99b1d60f13e.txt	622	8	0	e42578b72118
5906.up-7c111e182316.txt	5906.up-b2d6bec1e3bd.txt	587	8	0	f728a0379f47
5906.up-56126e7237c3.txt	5906.up-bd458e7fc19e.txt	582	8	0	294852482af9
5906.up-56126e7237c3.txt	5906.i4a-29c55ed5fbf6.txt	582	8	3	b60b8012ce32
5906.up-bd458e7fc19e.txt	5906.i4a-c1080e26f60c.txt	582	8	3	5c3f708b701a
5906.i4a-29c55ed5fbf6.txt	5906.i4a-c1080e26f60c.txt	582	8	0	294852482af9
5906.up-95ffff5c765c.txt	5906.up-cad80abdf334.txt	579	8	0	f02081420210
5906.up-0a065898a821.txt	5906.up-72482a71c81e.txt	565	8	0	8101d56940c4
5906.up-0a065898a821.txt	5906.up-f2c7804be474.txt	565	16	0	2ccaf8efa20c
5906.up-377da0a3c300.txt	5906.up-72482a71c81e.txt	565	16	0	4e176f928187
5906.up-377da0a3c300.txt	5906.up-f2c7804be474.txt	565	8	0	8101d56940c4
5906.up-1206598d1ff0.txt	5906.up-6a142cb8e27d.txt	413	8	0	f9468e268727
5906.up-1206598d1ff0.txt	5906.i4a-7f46c8149026.txt	413	8	3	b28198d2331d
5906.up-6a142cb8e27d.txt	5906.i4a-66637a3b8941.txt	413	8	3	6302fba0a6b0
5906.i4a-66637a3b8941.txt	5906.i4a-7f46c8149026.txt	413	8	0	f9468e268727
5906.up-a235b0e09b6c.txt	5906.up-abe33e328763.txt	409	4	0	4b19c3ccd5ca
5906.up-0a065898a821.txt	5906.up-6597315411ea.txt	389	14	0	f1152fecff0d
5906.up-0a065898a821.txt	5906.up-c3afee7ed153.txt	389	22	0	9d9e79832d5e
5906.up-0a065898a821.txt	5906.up-c63a66adbc60.txt	389	30	0	27f59015f595
5906.up-0a065898a821.txt	5906.up-d1489855deef.txt	389	22	0	b4b6a1e27f68
5906.up-377da0a3c300.txt	5906.up-6597315411ea.txt	389	22	0	99044926564b
5906.up-377da0a3c300.txt	5906.up-c3afee7ed153.txt	389	14	0	f1152fecff0d
5906.up-377da0a3c300.txt	5906.up-c63a66adbc60.txt	389	22	0	b4b6a1e27f68
5906.up-377da0a3c300.txt	5906.up-d1489855deef.txt	389	30	0	6f923e4a46b6
5906.up-6597315411ea.txt	5906.up-72482a71c81e.txt	389	22	0	b0b4eba617a4
5906.up-6597315411ea.txt	5906.up-f2c7804be474.txt	389	30	0	e21901d90bf3
5906.up-72482a71c81e.txt	5906.up-c3afee7ed153.txt	389	30	0	131202c1944d
5906.up-72482a71c81e.txt	5906.up-c63a66adbc60.txt	389	22	0	589b385c9a9a
5906.up-72482a71c81e.txt	5906.up-d1489855deef.txt	389	14	0	b1fc4d347f2b
5906.up-c3afee7ed153.txt	5906.up-f2c7804be474.txt	389	22	0	b0b4eba617a4
5906.up-c63a66adbc60.txt	5906.up-f2c7804be474.txt	389	14	0	b1fc4d347f2b
5906.up-d1489855deef.txt	5906.up-f2c7804be474.txt	389	22	0	da337428309e
5906.up-a001786e5861.txt	5906.up-e1680a9d0e30.txt	375	8	0	0d29c7b8725d
5906.up-02d771908307.txt	5906.up-9a915a83c416.txt	349	8	0	e738ed0dd2de
5906.up-3de4f10d5095.txt	5906.up-a235b0e09b6c.txt	334	14	0	0f56aef57ca4
5906.up-3de4f10d5095.txt	5906.up-abe33e328763.txt	334	18	0	204c420db4c9
5906.up-0a065898a821.txt	5906.up-63a938be8d73.txt	308	80	12	33dc9d2b7ccf
5906.up-377da0a3c300.txt	5906.up-63a938be8d73.txt	308	76	12	68fffc1c3f2e
5906.up-63a938be8d73.txt	5906.up-6597315411ea.txt	308	68	12	4ebc19aceb7c
